mode,k,acc,bal,macro,min,recall_db_bench_press,recall_db_biceps_curl,recall_db_rdl,recall_db_shoulder_press,recall_db_squat,recall_db_triceps_curl,recall_db_weighted_crunch,recall_one_arm_db_row
base_post_vote,15,0.8180457661484986,0.8221076368593664,0.8220529464286497,0.6835548172757475,0.6970886490022898,1.0,0.7886717456111295,0.7095970087245533,0.9655317360235393,1.0,0.7324171382376717,0.6835548172757475
post_pred,16,0.8194940619870619,0.8236234008043947,0.8217639605081168,0.6835548172757475,0.6970886490022898,1.0,0.7886717456111295,0.7095970087245533,0.9655317360235393,1.0,0.7445432497978981,0.6835548172757475
base_post_vote,14,0.814714685719803,0.8186213797858013,0.8180649436572336,0.6835548172757475,0.6970886490022898,1.0,0.7886717456111295,0.7095970087245533,0.9655317360235393,1.0,0.7045270816491511,0.6835548172757475
base_post_vote,8,0.8321907888384668,0.8352470715615827,0.835073238411725,0.680732744520772,0.680732744520772,1.0,0.8744617422987744,0.7095970087245533,0.9655317360235393,1.0,0.7033144704931286,0.7483388704318937
post_pred,20,0.8281355604904895,0.831492020082409,0.8306163094309524,0.669297881179892,0.7379784102060843,1.0,0.7886717456111295,0.669297881179892,1.0,1.0,0.7724333063864187,0.6835548172757475
post_pred,18,0.8221009944964758,0.8263807999319347,0.8248123617116284,0.669297881179892,0.6970886490022898,1.0,0.7886717456111295,0.669297881179892,1.0,1.0,0.7724333063864187,0.6835548172757475
post_pred,19,0.8221009944964758,0.8263807999319347,0.8248123617116284,0.669297881179892,0.6970886490022898,1.0,0.7886717456111295,0.669297881179892,1.0,1.0,0.7724333063864187,0.6835548172757475
post_pred,26,0.8237906729747997,0.8277971193076572,0.8273518626206082,0.6634815122559202,0.7033038927052666,1.0,0.7886717456111295,0.6634815122559202,0.9688944934846574,1.0,0.8144704931285368,0.6835548172757475
post_pred,30,0.8221009944964758,0.8263659776655243,0.8261589532582666,0.6634815122559202,0.6918547595682041,1.0,0.7886717456111295,0.6634815122559202,0.9688944934846574,1.0,0.8144704931285368,0.6835548172757475
base_post_vote,21,0.8266872646519262,0.8322021036760221,0.8321455071715981,0.662414131501472,0.662414131501472,1.0,0.7886717456111295,0.669297881179892,1.0,1.0,0.8536782538399353,0.6835548172757475
base_post_vote,22,0.8266872646519262,0.8322021036760221,0.8321455071715981,0.662414131501472,0.662414131501472,1.0,0.7886717456111295,0.669297881179892,1.0,1.0,0.8536782538399353,0.6835548172757475
base_post_vote,23,0.8266872646519262,0.8322021036760221,0.8321455071715981,0.662414131501472,0.662414131501472,1.0,0.7886717456111295,0.669297881179892,1.0,1.0,0.8536782538399353,0.6835548172757475
base_post_vote,24,0.8225354832480448,0.8286413219602221,0.8283691040848915,0.662414131501472,0.662414131501472,1.0,0.7601854918847301,0.669297881179892,1.0,1.0,0.8536782538399353,0.6835548172757475
base_pred,14,0.82128029352129,0.826284382660444,0.8273981224741119,0.662414131501472,0.662414131501472,1.0,0.8039085789996687,0.7095970087245533,0.9655317360235393,1.0,0.7283751010509296,0.7404485049833887
base_pred,16,0.8200733803224872,0.8262252215083442,0.8253378755382187,0.662414131501472,0.662414131501472,1.0,0.7601854918847301,0.7095970087245533,0.9655317360235393,1.0,0.7716248989490704,0.7404485049833887
base_post_vote,20,0.8178526600366902,0.8237403518712973,0.8241499896094377,0.662414131501472,0.662414131501472,1.0,0.7601854918847301,0.669297881179892,1.0,1.0,0.8144704931285368,0.6835548172757475
base_pred,17,0.8167422998937917,0.822643410877115,0.8219994548375954,0.662414131501472,0.662414131501472,1.0,0.7601854918847301,0.7095970087245533,0.9655317360235393,1.0,0.7716248989490704,0.7117940199335548
base_pred,15,0.8149077918316114,0.8208189967710766,0.8203482745399258,0.662414131501472,0.662414131501472,1.0,0.7601854918847301,0.7095970087245533,0.9655317360235393,1.0,0.7283751010509296,0.7404485049833887
base_post_vote,17,0.8135560490489524,0.8192145614745576,0.8188945237959939,0.662414131501472,0.662414131501472,1.0,0.7601854918847301,0.7095970087245533,0.9655317360235393,1.0,0.7724333063864187,0.6835548172757475
base_post_vote,19,0.8128319011296707,0.8184857035285326,0.8182724947793438,0.662414131501472,0.662414131501472,1.0,0.7601854918847301,0.669297881179892,1.0,1.0,0.7724333063864187,0.6835548172757475
base_post_vote,18,0.8088732258375978,0.814177170531475,0.8143675647265582,0.662414131501472,0.662414131501472,1.0,0.7601854918847301,0.669297881179892,0.9655317360235393,1.0,0.7724333063864187,0.6835548172757475
base_post_vote,16,0.8087766727816935,0.8142125404559643,0.8142265600865823,0.662414131501472,0.662414131501472,1.0,0.7601854918847301,0.7095970087245533,0.9655317360235393,1.0,0.7324171382376717,0.6835548172757475
