file,subject,exercise,set_id,num_reps,set_length_samples,true_period_samples,signal,method,estimated_period_samples,signed_error_samples,abs_error_samples,relative_abs_error,within_10_percent,within_20_percent
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,12,4404,330.0,transition_energy,fft,338.7692,8.7692,8.7692,0.0266,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,pca_motion,autocorr,372.0,-1.0,1.0,0.0027,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,pca_motion,fft,373.9167,0.9167,0.9167,0.0025,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,abs_pca_motion,autocorr,366.0,-7.0,7.0,0.0188,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,abs_pca_motion,fft,373.9167,0.9167,0.9167,0.0025,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,acc_magnitude,autocorr,379.0,6.0,6.0,0.0161,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,acc_magnitude,fft,186.9583,-186.0417,186.0417,0.4988,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,gyro_magnitude,autocorr,368.0,-5.0,5.0,0.0134,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,gyro_magnitude,fft,373.9167,0.9167,0.9167,0.0025,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,pca_velocity,autocorr,363.0,-10.0,10.0,0.0268,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,pca_velocity,fft,186.9583,-186.0417,186.0417,0.4988,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,motion_energy,autocorr,383.0,10.0,10.0,0.0268,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,motion_energy,fft,373.9167,0.9167,0.9167,0.0025,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,transition_energy,autocorr,345.0,-28.0,28.0,0.0751,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,transition_energy,fft,373.9167,0.9167,0.9167,0.0025,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,12,4484,364.0,pca_motion,autocorr,373.0,9.0,9.0,0.0247,True,True
