subject,feature,objective,boundaries,mean_abs_error,median_abs_error,p80_abs_error,p90_abs_error,within_25_samples,within_50_samples,within_100_samples
kevin0509workout,acc_jerk_max_s51_e81,max,274,82.0036,89.0,111.0,115.0,0.1168,0.1606,0.6679
kevin0509workout,acc_jerk_max_s9_e21,max,274,64.2482,66.0,96.0,111.0,0.1934,0.3759,0.8248
kevin0509workout,acc_jerk_max_s9_e51,max,274,72.8869,82.5,108.0,113.7,0.146,0.2993,0.7117
kevin0509workout,acc_jerk_max_s9_e81,max,274,75.5985,86.0,109.0,115.0,0.1423,0.2591,0.7226
kevin0509workout,acc_magnitude_min_s21,min,274,60.635,60.5,90.4,105.7,0.1642,0.4161,0.8686
kevin0509workout,acc_magnitude_min_s51,min,274,62.219,63.0,93.0,104.7,0.1715,0.3759,0.8613
kevin0509workout,acc_magnitude_min_s9,min,274,59.2336,61.5,89.0,106.4,0.208,0.4124,0.8723
kevin0509workout,gyro_jerk_max_s21_e21,max,274,52.8467,51.0,85.0,95.7,0.2591,0.4927,0.927
kevin0509workout,gyro_jerk_max_s21_e51,max,274,55.062,51.0,89.4,95.7,0.219,0.4927,0.9197
kevin0509workout,gyro_jerk_max_s21_e81,max,274,58.2883,55.5,94.0,104.7,0.2263,0.4526,0.8613
kevin0509workout,gyro_jerk_max_s51_e21,max,274,50.8285,46.5,84.4,100.7,0.2993,0.562,0.8978
kevin0509workout,gyro_jerk_max_s51_e51,max,274,55.2737,50.5,87.0,96.7,0.2299,0.5,0.9088
kevin0509workout,gyro_jerk_max_s51_e81,max,274,58.4927,56.5,90.0,100.8,0.1825,0.4343,0.8978
kevin0509workout,gyro_jerk_max_s9_e21,max,274,53.1022,51.0,82.4,98.7,0.2628,0.4964,0.9051
kevin0509workout,gyro_jerk_max_s9_e51,max,274,56.7518,52.5,91.0,101.0,0.2153,0.4854,0.8942
kevin0509workout,gyro_jerk_max_s9_e81,max,274,59.7372,56.5,94.0,105.0,0.2153,0.4416,0.8504
kevin0509workout,gyro_magnitude_min_s21,min,274,38.9635,23.0,77.4,91.7,0.5146,0.6423,0.938
kevin0509workout,gyro_magnitude_min_s51,min,274,46.5839,28.5,93.4,102.0,0.4781,0.5912,0.8869
kevin0509workout,gyro_magnitude_min_s9,min,274,35.073,19.0,69.4,85.0,0.5547,0.7044,0.9526
kevin0509workout,motion_energy_min_s21_e21,min,274,55.0109,54.0,94.0,105.7,0.3102,0.4635,0.854
kevin0509workout,motion_energy_min_s21_e51,min,274,54.6752,54.0,92.4,104.0,0.2956,0.4854,0.8686
kevin0509workout,motion_energy_min_s21_e81,min,274,59.9599,60.5,95.0,110.8,0.2372,0.4161,0.8504
kevin0509workout,motion_energy_min_s51_e21,min,274,55.3358,53.0,95.0,108.7,0.2993,0.4599,0.8431
kevin0509workout,motion_energy_min_s51_e51,min,274,56.3066,53.5,95.0,110.0,0.2993,0.4781,0.8467
kevin0509workout,motion_energy_min_s51_e81,min,274,59.7044,60.0,96.4,112.0,0.2628,0.4088,0.8285
kevin0509workout,motion_energy_min_s9_e21,min,274,52.4526,50.5,89.0,102.0,0.3248,0.5,0.8759
kevin0509workout,motion_energy_min_s9_e51,min,274,52.1606,49.0,90.0,104.7,0.3212,0.5182,0.8723
kevin0509workout,motion_energy_min_s9_e81,min,274,55.7993,54.0,91.0,106.1,0.2701,0.4745,0.8613
kevin0509workout,pca_extreme_max_s21,max,274,58.5036,55.5,89.0,100.7,0.1569,0.4562,0.8978
kevin0509workout,pca_extreme_max_s51,max,274,61.427,62.0,91.4,105.0,0.1715,0.4051,0.8905
kevin0509workout,pca_extreme_max_s9,max,274,57.0255,54.0,86.4,100.7,0.1825,0.4562,0.8978
