dataset,model_stage,fold,val_subject,n_features,added_feature_coef,n,mae,rmse,r2,spearman,rounded_exact_acc,rounded_pm1_acc
rpe_only_143_sets,M4_add_one__pca_diff_rms_mean,5,yoru0511workout,11,-0.28665538016487474,24,1.2224553555605562,1.4791724914509945,-0.0229382511786016,0.7375668983272197,0.3333333333333333,0.5833333333333334
rpe_only_143_sets,M4_add_one__pca_diff_rms_mean,6,yushuan0513workout,11,-0.3249258486790409,24,1.119237081222582,1.5413286976493772,-0.11888784367765703,0.6362146372707825,0.4166666666666667,0.75
vo2_lag45_96_sets,M0_exercise_mean,1,haoyu0512workout,0,,24,1.3055555555555554,1.4979409736347515,-1.2595182595182592,0.40636303325058964,0.16666666666666666,0.5833333333333334
vo2_lag45_96_sets,M0_exercise_mean,2,yanz0510workout,0,,24,1.212962962962963,1.4304881321759702,-0.02403706921517501,0.28347438782872936,0.25,0.6666666666666666
vo2_lag45_96_sets,M0_exercise_mean,3,yoru0511workout,0,,24,1.7870370370370372,2.213176031893566,-1.290043290043291,0.4399194459951265,0.20833333333333334,0.4583333333333333
vo2_lag45_96_sets,M0_exercise_mean,4,yushuan0513workout,0,,24,1.1851851851851851,1.4624940645653537,-0.007358953393295176,0.20478790122679258,0.2916666666666667,0.7083333333333334
vo2_lag45_96_sets,M1_exercise_plus_set_index,1,haoyu0512workout,9,,24,1.376199380264601,1.6117934532129028,-1.6160451157907425,0.5152553030284454,0.16666666666666666,0.5416666666666666
vo2_lag45_96_sets,M1_exercise_plus_set_index,2,yanz0510workout,9,,24,0.9799773610296102,1.1709485992476047,0.31384406749084404,0.5889437413959605,0.25,0.8333333333333334
vo2_lag45_96_sets,M1_exercise_plus_set_index,3,yoru0511workout,9,,24,1.8136856404402886,2.187790500612486,-1.237810154344524,0.5506218867704709,0.20833333333333334,0.4583333333333333
vo2_lag45_96_sets,M1_exercise_plus_set_index,4,yushuan0513workout,9,,24,1.050572580388434,1.4649982498174146,-0.010811648612934377,0.45190733288036095,0.375,0.8333333333333334
