plot,file,subject,exercise,set_id,set_start,set_end,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/049_hsianshun0514workout_one_arm_db_row_set_1.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,one_arm_db_row,1,55172,58391,0.9,12,11,0,11,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/050_hsianshun0514workout_one_arm_db_row_set_2.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,one_arm_db_row,2,64750,67663,0.9,12,11,0,11,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/051_hsianshun0514workout_one_arm_db_row_set_3.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,one_arm_db_row,3,74827,77617,0.9,12,13,1,12,11,0.0769,0.0833,0.08,0.9181
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/052_kevin0509workout_db_bench_press_set_0.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_bench_press,0,617,4613,0.9,12,26,0,26,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/053_kevin0509workout_db_bench_press_set_1.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_bench_press,1,11655,14978,0.9,12,25,0,25,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/054_kevin0509workout_db_bench_press_set_2.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_bench_press,2,20890,24245,0.9,12,27,0,27,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/055_kevin0509workout_db_biceps_curl_set_0.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_biceps_curl,0,226852,230829,0.9,12,12,11,1,1,0.9167,0.9167,0.9167,0.9467
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/056_kevin0509workout_db_biceps_curl_set_1.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_biceps_curl,1,240317,244169,0.9,12,12,12,0,0,1.0,1.0,1.0,0.9456
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/057_kevin0509workout_db_biceps_curl_set_2.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_biceps_curl,2,253518,258055,0.9,12,2,0,2,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/058_kevin0509workout_db_rdl_set_0.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_rdl,0,86297,90269,0.9,12,12,1,11,11,0.0833,0.0833,0.0833,0.907
