plot,subject,exercise,set_id,method,file,window_start,window_end,true_reps,predicted_reps,predicted_with_best_iou_ge_0.50,mean_best_true_iou
artifacts_rep_classification/waveform_method_comparison/sets_all/011_haoyu0512workout_db_shoulder_press_set_0.png,haoyu0512workout,db_shoulder_press,0,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,245261,251695,12,34,6,0.2899
artifacts_rep_classification/waveform_method_comparison/sets_all/011_haoyu0512workout_db_shoulder_press_set_0.png,haoyu0512workout,db_shoulder_press,0,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,245261,251695,12,30,9,0.3779
artifacts_rep_classification/waveform_method_comparison/sets_all/011_haoyu0512workout_db_shoulder_press_set_0.png,haoyu0512workout,db_shoulder_press,0,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,245261,251695,12,35,4,0.292
artifacts_rep_classification/waveform_method_comparison/sets_all/011_haoyu0512workout_db_shoulder_press_set_0.png,haoyu0512workout,db_shoulder_press,0,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,245261,251695,12,2,0,0.1661
artifacts_rep_classification/waveform_method_comparison/sets_all/011_haoyu0512workout_db_shoulder_press_set_0.png,haoyu0512workout,db_shoulder_press,0,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,245261,251695,12,5,0,0.3029
artifacts_rep_classification/waveform_method_comparison/sets_all/012_haoyu0512workout_db_shoulder_press_set_1.png,haoyu0512workout,db_shoulder_press,1,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,263711,269395,12,37,4,0.288
artifacts_rep_classification/waveform_method_comparison/sets_all/012_haoyu0512workout_db_shoulder_press_set_1.png,haoyu0512workout,db_shoulder_press,1,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,263711,269395,12,36,6,0.2924
artifacts_rep_classification/waveform_method_comparison/sets_all/012_haoyu0512workout_db_shoulder_press_set_1.png,haoyu0512workout,db_shoulder_press,1,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,263711,269395,12,38,2,0.2639
artifacts_rep_classification/waveform_method_comparison/sets_all/012_haoyu0512workout_db_shoulder_press_set_1.png,haoyu0512workout,db_shoulder_press,1,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,263711,269395,12,2,0,0.0233
artifacts_rep_classification/waveform_method_comparison/sets_all/012_haoyu0512workout_db_shoulder_press_set_1.png,haoyu0512workout,db_shoulder_press,1,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,263711,269395,12,7,0,0.2224
artifacts_rep_classification/waveform_method_comparison/sets_all/013_haoyu0512workout_db_shoulder_press_set_2.png,haoyu0512workout,db_shoulder_press,2,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,278980,285716,12,49,1,0.2172
artifacts_rep_classification/waveform_method_comparison/sets_all/013_haoyu0512workout_db_shoulder_press_set_2.png,haoyu0512workout,db_shoulder_press,2,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,278980,285716,12,26,10,0.3785
artifacts_rep_classification/waveform_method_comparison/sets_all/013_haoyu0512workout_db_shoulder_press_set_2.png,haoyu0512workout,db_shoulder_press,2,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,278980,285716,12,38,1,0.2682
artifacts_rep_classification/waveform_method_comparison/sets_all/013_haoyu0512workout_db_shoulder_press_set_2.png,haoyu0512workout,db_shoulder_press,2,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,278980,285716,12,14,12,0.5691
artifacts_rep_classification/waveform_method_comparison/sets_all/013_haoyu0512workout_db_shoulder_press_set_2.png,haoyu0512workout,db_shoulder_press,2,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,278980,285716,12,15,2,0.3825
artifacts_rep_classification/waveform_method_comparison/sets_all/014_haoyu0512workout_db_squat_set_0.png,haoyu0512workout,db_squat,0,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,421782,427557,12,30,5,0.2988
artifacts_rep_classification/waveform_method_comparison/sets_all/014_haoyu0512workout_db_squat_set_0.png,haoyu0512workout,db_squat,0,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,421782,427557,12,29,11,0.3779
