plot,subject,exercise,set_id,method,file,window_start,window_end,true_reps,predicted_reps,predicted_with_best_iou_ge_0.50,mean_best_true_iou,set_key,matched_rate_at_iou_0.50,prediction_ratio,over_segmentation_ratio
artifacts_rep_classification/waveform_method_comparison/sets_all/008_haoyu0512workout_db_rdl_set_0.png,haoyu0512workout,db_rdl,0,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,122265,129495,12,49,1,0.2187,haoyu0512workout | db_rdl | set 0,0.08333333333333333,4.083333333333333,3.0833333333333335
artifacts_rep_classification/waveform_method_comparison/sets_all/008_haoyu0512workout_db_rdl_set_0.png,haoyu0512workout,db_rdl,0,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,122265,129495,12,23,12,0.4176,haoyu0512workout | db_rdl | set 0,1.0,1.9166666666666667,0.9166666666666666
artifacts_rep_classification/waveform_method_comparison/sets_all/008_haoyu0512workout_db_rdl_set_0.png,haoyu0512workout,db_rdl,0,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,122265,129495,12,47,1,0.2264,haoyu0512workout | db_rdl | set 0,0.08333333333333333,3.9166666666666665,2.9166666666666665
artifacts_rep_classification/waveform_method_comparison/sets_all/008_haoyu0512workout_db_rdl_set_0.png,haoyu0512workout,db_rdl,0,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,122265,129495,12,14,12,0.5392,haoyu0512workout | db_rdl | set 0,1.0,1.1666666666666667,0.16666666666666666
artifacts_rep_classification/waveform_method_comparison/sets_all/008_haoyu0512workout_db_rdl_set_0.png,haoyu0512workout,db_rdl,0,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,122265,129495,12,11,8,0.5708,haoyu0512workout | db_rdl | set 0,0.6666666666666666,0.9166666666666666,-0.08333333333333333
artifacts_rep_classification/waveform_method_comparison/sets_all/009_haoyu0512workout_db_rdl_set_1.png,haoyu0512workout,db_rdl,1,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,137171,143663,12,40,4,0.2452,haoyu0512workout | db_rdl | set 1,0.3333333333333333,3.3333333333333335,2.3333333333333335
artifacts_rep_classification/waveform_method_comparison/sets_all/009_haoyu0512workout_db_rdl_set_1.png,haoyu0512workout,db_rdl,1,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,137171,143663,12,29,11,0.3014,haoyu0512workout | db_rdl | set 1,0.9166666666666666,2.4166666666666665,1.4166666666666667
artifacts_rep_classification/waveform_method_comparison/sets_all/009_haoyu0512workout_db_rdl_set_1.png,haoyu0512workout,db_rdl,1,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,137171,143663,12,38,7,0.267,haoyu0512workout | db_rdl | set 1,0.5833333333333334,3.1666666666666665,2.1666666666666665
artifacts_rep_classification/waveform_method_comparison/sets_all/009_haoyu0512workout_db_rdl_set_1.png,haoyu0512workout,db_rdl,1,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,137171,143663,12,4,0,0.0275,haoyu0512workout | db_rdl | set 1,0.0,0.3333333333333333,-0.6666666666666666
artifacts_rep_classification/waveform_method_comparison/sets_all/009_haoyu0512workout_db_rdl_set_1.png,haoyu0512workout,db_rdl,1,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,137171,143663,12,16,8,0.4944,haoyu0512workout | db_rdl | set 1,0.6666666666666666,1.3333333333333333,0.3333333333333333
artifacts_rep_classification/waveform_method_comparison/sets_all/010_haoyu0512workout_db_rdl_set_2.png,haoyu0512workout,db_rdl,2,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,156106,163653,12,54,0,0.2077,haoyu0512workout | db_rdl | set 2,0.0,4.5,3.5
artifacts_rep_classification/waveform_method_comparison/sets_all/010_haoyu0512workout_db_rdl_set_2.png,haoyu0512workout,db_rdl,2,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,156106,163653,12,40,6,0.2704,haoyu0512workout | db_rdl | set 2,0.5,3.3333333333333335,2.3333333333333335
artifacts_rep_classification/waveform_method_comparison/sets_all/010_haoyu0512workout_db_rdl_set_2.png,haoyu0512workout,db_rdl,2,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,156106,163653,12,54,0,0.2016,haoyu0512workout | db_rdl | set 2,0.0,4.5,3.5
artifacts_rep_classification/waveform_method_comparison/sets_all/010_haoyu0512workout_db_rdl_set_2.png,haoyu0512workout,db_rdl,2,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,156106,163653,12,14,6,0.4616,haoyu0512workout | db_rdl | set 2,0.5,1.1666666666666667,0.16666666666666666
artifacts_rep_classification/waveform_method_comparison/sets_all/010_haoyu0512workout_db_rdl_set_2.png,haoyu0512workout,db_rdl,2,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,156106,163653,12,18,11,0.5389,haoyu0512workout | db_rdl | set 2,0.9166666666666666,1.5,0.5
artifacts_rep_classification/waveform_method_comparison/sets_all/011_haoyu0512workout_db_shoulder_press_set_0.png,haoyu0512workout,db_shoulder_press,0,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,245261,251695,12,34,6,0.2899,haoyu0512workout | db_shoulder_press | set 0,0.5,2.8333333333333335,1.8333333333333333
artifacts_rep_classification/waveform_method_comparison/sets_all/011_haoyu0512workout_db_shoulder_press_set_0.png,haoyu0512workout,db_shoulder_press,0,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,245261,251695,12,30,9,0.3779,haoyu0512workout | db_shoulder_press | set 0,0.75,2.5,1.5
artifacts_rep_classification/waveform_method_comparison/sets_all/011_haoyu0512workout_db_shoulder_press_set_0.png,haoyu0512workout,db_shoulder_press,0,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,245261,251695,12,35,4,0.292,haoyu0512workout | db_shoulder_press | set 0,0.3333333333333333,2.9166666666666665,1.9166666666666667
artifacts_rep_classification/waveform_method_comparison/sets_all/011_haoyu0512workout_db_shoulder_press_set_0.png,haoyu0512workout,db_shoulder_press,0,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,245261,251695,12,2,0,0.1661,haoyu0512workout | db_shoulder_press | set 0,0.0,0.16666666666666666,-0.8333333333333334
artifacts_rep_classification/waveform_method_comparison/sets_all/011_haoyu0512workout_db_shoulder_press_set_0.png,haoyu0512workout,db_shoulder_press,0,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,245261,251695,12,5,0,0.3029,haoyu0512workout | db_shoulder_press | set 0,0.0,0.4166666666666667,-0.5833333333333334
artifacts_rep_classification/waveform_method_comparison/sets_all/012_haoyu0512workout_db_shoulder_press_set_1.png,haoyu0512workout,db_shoulder_press,1,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,263711,269395,12,37,4,0.288,haoyu0512workout | db_shoulder_press | set 1,0.3333333333333333,3.0833333333333335,2.0833333333333335
artifacts_rep_classification/waveform_method_comparison/sets_all/012_haoyu0512workout_db_shoulder_press_set_1.png,haoyu0512workout,db_shoulder_press,1,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,263711,269395,12,36,6,0.2924,haoyu0512workout | db_shoulder_press | set 1,0.5,3.0,2.0
artifacts_rep_classification/waveform_method_comparison/sets_all/012_haoyu0512workout_db_shoulder_press_set_1.png,haoyu0512workout,db_shoulder_press,1,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,263711,269395,12,38,2,0.2639,haoyu0512workout | db_shoulder_press | set 1,0.16666666666666666,3.1666666666666665,2.1666666666666665
artifacts_rep_classification/waveform_method_comparison/sets_all/012_haoyu0512workout_db_shoulder_press_set_1.png,haoyu0512workout,db_shoulder_press,1,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,263711,269395,12,2,0,0.0233,haoyu0512workout | db_shoulder_press | set 1,0.0,0.16666666666666666,-0.8333333333333334
artifacts_rep_classification/waveform_method_comparison/sets_all/012_haoyu0512workout_db_shoulder_press_set_1.png,haoyu0512workout,db_shoulder_press,1,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,263711,269395,12,7,0,0.2224,haoyu0512workout | db_shoulder_press | set 1,0.0,0.5833333333333334,-0.4166666666666667
artifacts_rep_classification/waveform_method_comparison/sets_all/013_haoyu0512workout_db_shoulder_press_set_2.png,haoyu0512workout,db_shoulder_press,2,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,278980,285716,12,49,1,0.2172,haoyu0512workout | db_shoulder_press | set 2,0.08333333333333333,4.083333333333333,3.0833333333333335
artifacts_rep_classification/waveform_method_comparison/sets_all/013_haoyu0512workout_db_shoulder_press_set_2.png,haoyu0512workout,db_shoulder_press,2,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,278980,285716,12,26,10,0.3785,haoyu0512workout | db_shoulder_press | set 2,0.8333333333333334,2.1666666666666665,1.1666666666666667
artifacts_rep_classification/waveform_method_comparison/sets_all/013_haoyu0512workout_db_shoulder_press_set_2.png,haoyu0512workout,db_shoulder_press,2,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,278980,285716,12,38,1,0.2682,haoyu0512workout | db_shoulder_press | set 2,0.08333333333333333,3.1666666666666665,2.1666666666666665
artifacts_rep_classification/waveform_method_comparison/sets_all/013_haoyu0512workout_db_shoulder_press_set_2.png,haoyu0512workout,db_shoulder_press,2,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,278980,285716,12,14,12,0.5691,haoyu0512workout | db_shoulder_press | set 2,1.0,1.1666666666666667,0.16666666666666666
