file,subject,exercise,set_id,boundary,local_boundary,feature,objective,candidate,signed_error_samples,abs_error_samples,search_radius,candidate_score
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,17152,16793,pca_extreme_max,max,17251,99,99,160,3.9956
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,17152,16793,pca_velocity_min,min,17118,-34,34,160,-0.0253
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,17152,16793,acc_magnitude_min,min,17002,-150,150,160,1.1788
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,17152,16793,gyro_magnitude_min,min,17131,-21,21,160,-0.4686
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,17152,16793,acc_jerk_max,max,17289,137,137,160,2.7204
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,17152,16793,gyro_jerk_max,max,17267,115,115,160,0.6181
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,17152,16793,motion_energy_min,min,17129,-23,23,160,-0.0775
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,17152,16793,transition_energy_max,max,17268,116,116,160,1.8054
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,20436,472,pca_extreme_max,max,20392,-44,44,153,2.9839
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,20436,472,pca_velocity_min,min,20536,100,100,153,-0.6666
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,20436,472,acc_magnitude_min,min,20529,93,93,153,-1.533
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,20436,472,gyro_magnitude_min,min,20461,25,25,153,-1.2919
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,20436,472,acc_jerk_max,max,20395,-41,41,153,3.2438
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,20436,472,gyro_jerk_max,max,20392,-44,44,153,2.3155
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,20436,472,motion_energy_min,min,20454,18,18,153,-0.8772
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,20436,472,transition_energy_max,max,20392,-44,44,153,3.5108
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,20779,815,pca_extreme_max,max,20751,-28,28,153,2.8268
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,20779,815,pca_velocity_min,min,20932,153,153,153,-0.9538
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,20779,815,acc_magnitude_min,min,20931,152,152,153,-1.9328
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,20779,815,gyro_magnitude_min,min,20891,112,112,153,-1.211
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,20779,815,acc_jerk_max,max,20768,-11,11,153,3.3749
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,20779,815,gyro_jerk_max,max,20772,-7,7,153,2.2319
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,20779,815,motion_energy_min,min,20929,150,150,153,-1.3736
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,20779,815,transition_energy_max,max,20768,-11,11,153,2.9452
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,21258,1294,pca_extreme_max,max,21224,-34,34,153,3.833
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,21258,1294,pca_velocity_min,min,21105,-153,153,153,-1.1985
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,21258,1294,acc_magnitude_min,min,21150,-108,108,153,-1.7906
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,21258,1294,gyro_magnitude_min,min,21330,72,72,153,-1.4105
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,21258,1294,acc_jerk_max,max,21243,-15,15,153,4.678
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,21258,1294,gyro_jerk_max,max,21222,-36,36,153,2.287
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,21258,1294,motion_energy_min,min,21328,70,70,153,-1.2456
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,21258,1294,transition_energy_max,max,21244,-14,14,153,4.1453
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,21671,1707,pca_extreme_max,max,21626,-45,45,153,3.7343
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,21671,1707,pca_velocity_min,min,21758,87,87,153,-1.3443
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,21671,1707,acc_magnitude_min,min,21524,-147,147,153,-1.4428
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,21671,1707,gyro_magnitude_min,min,21741,70,70,153,-1.5123
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,21671,1707,acc_jerk_max,max,21623,-48,48,153,3.6368
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,21671,1707,gyro_jerk_max,max,21617,-54,54,153,3.2711
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,21671,1707,motion_energy_min,min,21762,91,91,153,-1.5106
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,21671,1707,transition_energy_max,max,21619,-52,52,153,4.1539
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22074,2110,pca_extreme_max,max,22047,-27,27,153,4.9872
