fold,file,subject,exercise,set_id,period,expected_count,count_options,candidate_count,predicted_reps,boundaries
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_weighted_crunch,1,355.0,12,"10,11,12,13,14",419,12,"196014,196389,196799,197084,197486,197792,198167,198528,198810,199227,199588,199889,200320"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_weighted_crunch,2,331.0,12,"10,11,12,13,14",452,13,"210453,210788,210992,211347,211656,211983,212267,212597,212905,213267,213570,213855,214180,214473"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,one_arm_db_row,0,436.0,12,"10,11,12,13,14",438,12,"58038,58468,58898,59328,59809,60199,60619,61049,61479,61932,62322,62723,63200"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,one_arm_db_row,1,359.0,12,"10,11,12,13,14",441,12,"73276,73685,74071,74392,74797,75174,75534,75859,76251,76692,76985,77392,77738"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,one_arm_db_row,2,347.0,12,"10,11,12,13,14",457,12,"88648,88936,89341,89698,90096,90433,90749,91099,91449,91800,92150,92527,92850"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_bench_press,0,332.0,12,"10,11,12,13,14",430,12,"66,370,688,973,1342,1653,1955,2304,2610,2950,3270,3554,3903"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_bench_press,1,678.0,6,"4,5,6,7,8",144,6,"9344,9944,10617,11465,12002,12666,13331"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_bench_press,2,322.0,2,"1,2,3,4",50,2,"30134,30520,30906"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_bench_press,3,40.0,6,"4,5,6,7,8",115,6,"32190,32237,32268,32308,32358,32389,32425"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_bench_press,4,349.0,11,"9,10,11,12,13",389,9,"52261,52672,53110,53564,53967,54394,54811,55302,55637,56100"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_bench_press,5,341.0,11,"9,10,11,12,13",392,10,"62104,62481,62857,63289,63639,63970,64353,64707,65133,65461,65870"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_biceps_curl,0,313.0,8,"6,7,8,9,10",274,8,"320083,320386,320669,321027,321345,321612,321912,322279,322620"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_biceps_curl,1,285.0,11,"9,10,11,12,13",404,10,"335419,335669,336039,336337,336600,337004,337280,337590,337900,338210,338520"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_biceps_curl,2,304.0,11,"9,10,11,12,13",359,11,"344459,344725,345075,345346,345625,345944,346244,346542,346880,347082,347351,347672"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_biceps_curl,3,325.0,11,"9,10,11,12,13",401,11,"354328,354641,355018,355341,355679,356028,356354,356694,357036,357371,357704,358042"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_rdl,0,389.0,11,"9,10,11,12,13",416,11,"200102,200463,200870,201253,201645,201981,202401,202790,203160,203590,203972,204324"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_rdl,1,380.0,11,"9,10,11,12,13",374,11,"211601,211973,212340,212717,213148,213475,213906,214241,214582,214979,215353,215750"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_rdl,2,352.0,11,"9,10,11,12,13",381,11,"226213,226559,226906,227252,227599,227945,228242,228607,228994,229320,229643,230024"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_shoulder_press,0,288.0,11,"9,10,11,12,13",397,11,"284796,285050,285344,285633,285839,286191,286483,286749,287028,287307,287558,287865"
