block_index,file,subject,exercise,set_id,start,end,samples,predicted_reps,prediction_seconds
109,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_biceps_curl,2:active0,399016,405182,6166,12,0.066178666000269
110,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_rdl,0:active0,141125,148948,7823,11,0.07805037500111212
111,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_rdl,1:active0,163722,172447,8725,11,0.09069483399980527
112,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_rdl,2:active0,187841,192894,5053,7,0.05696262499986915
113,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_rdl,3:active0,212309,220066,7757,12,0.0774205420002545
114,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_shoulder_press,0:active0,294985,300580,5595,12,0.06616404099986539
115,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_shoulder_press,1:active0,307673,313393,5720,11,0.06438970899944252
116,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_shoulder_press,2:active0,324765,330324,5559,11,0.06504004199996416
117,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_squat,0:active0,469391,470005,614,4,0.02044199999909324
118,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_squat,1:active0,470717,475703,4986,12,0.06351170800007822
119,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_squat,2:active0,493921,498984,5063,12,0.06394970899964392
