dataset,feature,feature_type,family,n,subjects,raw_spearman,abs_raw_spearman,subject_centered_spearman,exercise_centered_spearman,subject_exercise_centered_spearman,single_feature_mae,single_feature_spearman,delta_mae_vs_global_mean,delta_spearman_vs_global_mean,delta_mae_vs_exercise_context,delta_spearman_vs_exercise_context,rank_by_abs_raw_spearman,rank_by_univariate_mae,rank_by_mae_gain_vs_global,evidence_note
rpe_only_143_sets,gy_range_max,numeric,other_numeric,143,6,-0.12711638316898372,0.12711638316898372,-0.051114411352598935,-0.14493242351137448,-0.033956808159072184,1.5445571640455231,-0.16419833826762859,0.006014812997042318,0.2741035381038995,-0.169365688854048,-0.4345912692508077,32.0,24.0,24.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,gx_range_max,numeric,other_numeric,143,6,-0.12346053325683456,0.12346053325683456,0.00700796885420294,-0.1131496100821506,-0.06930070048173313,1.5567275869420518,-0.36356833013959017,-0.006155609899486381,0.0747335462319379,-0.1815361117505767,-0.6339612611227693,33.0,38.0,38.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,pca_range_cv,numeric,pca_waveform,143,6,-0.1211060241006358,0.1211060241006358,-0.007535980579658865,-0.16175970659272063,0.04963662157507042,1.5580171179692635,-0.32730388397737575,-0.007445140926698013,0.11099799239415231,-0.18282564277778834,-0.5976968149605548,34.0,43.0,43.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,gx_range_std,numeric,variability,143,6,-0.11330423601087536,0.11330423601087536,0.0395269166772238,-0.10904243805777808,-0.030497329703593378,1.5591363240395129,-0.4144123808288069,-0.008564346996947414,0.023889495542721184,-0.18394484884803775,-0.684805311811986,35.0,44.0,44.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,gy_range_std,numeric,variability,143,6,-0.10174232390993126,0.10174232390993126,0.007139458155483793,-0.2035731422445491,-0.09333800468160969,1.5501278445051019,-0.2958151915509409,0.00044413253746355963,0.14248668482058718,-0.17493636931362677,-0.56620812253412,36.0,31.0,31.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,gx_range_mean,numeric,other_numeric,143,6,-0.10069332647364432,0.10069332647364432,-0.06323402679409502,-0.11892101889478811,-0.2115241609821671,1.5537235352867207,-0.12365031211707733,-0.0031515582441552503,0.31465156425445073,-0.17853206009524558,-0.39404324310025646,37.0,34.0,34.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,mean_phase_balance_abs,numeric,phase_timing,143,6,-0.09807187562391725,0.09807187562391725,0.0849133253427756,-0.11207299270307546,-0.07984994888315156,1.5732228869473162,-0.33437158240993337,-0.022650909904750716,0.1039302939615947,-0.19803141175584105,-0.6047645133931125,38.0,55.0,55.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,gyro_mag_range_max,numeric,gyro_waveform,143,6,-0.09772777109710346,0.09772777109710346,0.001208057955517833,-0.06157470655248627,0.12261906325659629,1.557635974110197,-0.39333024348601386,-0.007063997067631611,0.0449716328855142,-0.18244449891872194,-0.6637231744691929,39.0,42.0,42.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,gz_range_std,numeric,variability,143,6,-0.08859544550366294,0.08859544550366294,-0.0051691731566035175,-0.05888521771811728,0.0630217779548647,1.550164350467061,-0.3779206171306972,0.00040762657550441617,0.060381259240830876,-0.17497287527558592,-0.6483135481138763,40.0,32.0,32.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,acc_mag_diff_rms_max,numeric,acc_waveform,143,6,0.0854859918704545,0.0854859918704545,0.026499203248756823,0.010916160563027114,-0.07983142698779205,1.549123105087089,-0.26617006519543573,0.001448871955476383,0.17213181117609233,-0.17393162989561395,-0.5365629961786149,41.0,30.0,30.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,mean_rep_duration_sec,numeric,other_numeric,143,6,0.08405118026773992,0.08405118026773992,0.07144389004281824,0.058338690575304324,-0.26274954958140745,1.5680446262402445,-0.3696370827033974,-0.017472649197679102,0.06866479366813066,-0.19285315104876943,-0.6400300136865765,42.0,53.0,53.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,mag_mag_range_max,numeric,other_numeric,143,6,0.07976760027940312,0.07976760027940312,0.14149892434085748,-0.024756035878771628,-0.07004569227285945,1.5465700017583086,-0.13458866510579517,0.004001975284256831,0.3037132112657329,-0.1713785265668335,-0.4049815960889743,43.0,27.0,27.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,mean_eccentric_sec,numeric,phase_timing,143,6,0.07927125556799897,0.07927125556799897,0.13692556208068282,-0.002216927771034492,-0.17714546520657312,1.5605179212939928,-0.31268256981075976,-0.009945944251427363,0.1256193065607683,-0.1853264461025177,-0.5830755007939389,44.0,46.0,46.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,acc_mag_range_std,numeric,acc_waveform,143,6,-0.07832861771272717,0.07832861771272717,0.02111225093690689,-0.1729224207540092,-0.17634284974099504,1.5469113964435468,-0.2901322531535612,0.003660580599018637,0.14816962321796684,-0.1717199212520717,-0.5605251841367404,45.0,28.0,28.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,sim_to_first_mean,numeric,rep_similarity,143,6,0.07375515572907451,0.07375515572907451,0.06826143804775511,-0.030400058665640724,0.13725753455571632,1.5564793524628255,-0.24912959193121959,-0.005907375420260097,0.18917228444030848,-0.18128787727135043,-0.5195225229143987,46.0,37.0,37.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,rep_duration_cv,numeric,variability,143,6,-0.07315662240061654,0.07315662240061654,0.1623851780411879,-0.13230682466706775,-0.05450376407787077,1.5953001307631682,-0.4742698846385647,-0.04472815372060279,-0.03596800826703661,-0.22010865557169312,-0.7446628156217439,47.0,65.0,65.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,pca_range_loss_last2_vs_first2,numeric,pca_waveform,143,6,0.07109408072171436,0.07109408072171436,-0.0004376128308253375,0.07716305780256846,-0.005490712979903308,1.5643190788719257,-0.45495415053341604,-0.013747101829360231,-0.01665227416188797,-0.18912760368045056,-0.7253470815165952,48.0,51.0,51.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,acc_mag_diff_rms_std,numeric,acc_waveform,143,6,0.07054559896079295,0.07054559896079295,0.05396403105379491,-0.031955400948006904,-0.07490048684542013,1.5612302260327975,-0.4243330186109481,-0.010658248990232044,0.013968857760579989,-0.18603875084132238,-0.6947259495941271,49.0,47.0,47.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,total_concentric_sec,numeric,phase_timing,143,6,-0.06606188047980835,0.06606188047980835,-0.16228672756651882,0.05167968880892546,-0.222336831895365,1.589971851570557,-0.4248469189389147,-0.03939987452799154,0.01345495743261338,-0.21478037637908187,-0.6952398499220938,50.0,62.0,62.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,acc_mag_diff_rms_mean,numeric,acc_waveform,143,6,0.06055405479130825,0.06055405479130825,-0.04780047005625494,0.024078013483552558,-0.10084348827895129,1.5370181530453297,-0.20005611544360855,0.013553823997235703,0.23824576092791952,-0.16182667785385463,-0.47044904642678764,51.0,17.0,17.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,movement_rate_slope,numeric,trend,143,6,-0.057336156095103924,0.057336156095103924,-0.1312283771986234,-0.03127121471283129,-0.1448000619437769,1.593269228922983,-0.40580351121251945,-0.04269725188041762,0.03249836515900861,-0.21807775373150795,-0.6761964421956985,52.0,64.0,64.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,gyro_mag_range_std,numeric,gyro_waveform,143,6,-0.05455203765088307,0.05455203765088307,0.03220460621214632,-0.02297674074465127,0.19166457318004307,1.556737802320249,-0.4447165194902099,-0.006165825277683501,-0.00641464311868184,-0.18154632712877383,-0.715109450473389,53.0,39.0,39.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,pca_range_slope,numeric,pca_waveform,143,6,-0.05130077124298772,0.05130077124298772,0.031368416436813394,-0.07539814496168003,0.030908927378248796,1.5675264192860108,-0.44682702725466794,-0.016954442243445333,-0.008525150883139876,-0.19233494409453566,-0.7172199582378471,54.0,52.0,52.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,acc_mag_range_max,numeric,acc_waveform,143,6,-0.04875856870852689,0.04875856870852689,0.02271272227593477,-0.1297056842054091,-0.12234123482620389,1.5403131179882465,-0.22945306944341157,0.010258859054318892,0.2088488069281165,-0.16512164279677144,-0.49984600042659066,55.0,20.0,20.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,sim_to_first_min,numeric,rep_similarity,143,6,0.047534390785861996,0.047534390785861996,0.15387535482391776,-0.03957185252096785,0.07447036727540522,1.5621837265087741,-0.2136263466919569,-0.011611749466208687,0.22467552967957116,-0.18699225131729902,-0.48401927767513603,56.0,49.0,49.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,acc_mag_diff_rms_slope,numeric,acc_waveform,143,6,0.04554484097628395,0.04554484097628395,0.024144722947696557,0.05748602604798336,0.15257102604127126,1.5816149040263672,-0.43447471748304245,-0.031042926983801733,0.0038271588884856156,-0.20642342883489206,-0.7048676484662215,57.0,59.0,59.0,association exists but not stronger than exercise/progression context
