folder,source_file,source_row_index,row_key,row_instance,exercise_index,exercise,set_id,rep_id,kg,rpe,rpe_class,completed,raw_value,filled_from_previous
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,12,4_0,0,4,db_weighted_crunch,0,11,8.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,13,4_1,0,4,db_weighted_crunch,1,0,8.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,13,4_1,0,4,db_weighted_crunch,1,1,8.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,13,4_1,0,4,db_weighted_crunch,1,2,8.0,4.0,4.0,True,4.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,13,4_1,0,4,db_weighted_crunch,1,3,8.0,4.0,4.0,True,4.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,13,4_1,0,4,db_weighted_crunch,1,4,8.0,4.0,4.0,True,4.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,13,4_1,0,4,db_weighted_crunch,1,5,8.0,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,13,4_1,0,4,db_weighted_crunch,1,6,8.0,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,13,4_1,0,4,db_weighted_crunch,1,7,8.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,13,4_1,0,4,db_weighted_crunch,1,8,8.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,13,4_1,0,4,db_weighted_crunch,1,9,8.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,13,4_1,0,4,db_weighted_crunch,1,10,8.0,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,13,4_1,0,4,db_weighted_crunch,1,11,8.0,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,14,4_2,0,4,db_weighted_crunch,2,0,8.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,14,4_2,0,4,db_weighted_crunch,2,1,8.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,14,4_2,0,4,db_weighted_crunch,2,2,8.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,14,4_2,0,4,db_weighted_crunch,2,3,8.0,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,14,4_2,0,4,db_weighted_crunch,2,4,8.0,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,14,4_2,0,4,db_weighted_crunch,2,5,8.0,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,14,4_2,0,4,db_weighted_crunch,2,6,8.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,14,4_2,0,4,db_weighted_crunch,2,7,8.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,14,4_2,0,4,db_weighted_crunch,2,8,8.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,14,4_2,0,4,db_weighted_crunch,2,9,8.0,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,14,4_2,0,4,db_weighted_crunch,2,10,8.0,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,14,4_2,0,4,db_weighted_crunch,2,11,8.0,9.0,9.0,True,9.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,16,5_0,0,5,db_shoulder_press,0,0,5.0,1.0,1.0,True,1.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,16,5_0,0,5,db_shoulder_press,0,1,5.0,1.0,1.0,True,1.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,16,5_0,0,5,db_shoulder_press,0,2,5.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,16,5_0,0,5,db_shoulder_press,0,3,5.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,16,5_0,0,5,db_shoulder_press,0,4,5.0,4.0,4.0,True,4.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,16,5_0,0,5,db_shoulder_press,0,5,5.0,4.0,4.0,True,4.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,16,5_0,0,5,db_shoulder_press,0,6,5.0,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,16,5_0,0,5,db_shoulder_press,0,7,5.0,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,16,5_0,0,5,db_shoulder_press,0,8,5.0,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,16,5_0,0,5,db_shoulder_press,0,9,5.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,16,5_0,0,5,db_shoulder_press,0,10,5.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,16,5_0,0,5,db_shoulder_press,0,11,5.0,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,17,5_1,0,5,db_shoulder_press,1,0,5.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,17,5_1,0,5,db_shoulder_press,1,1,5.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,17,5_1,0,5,db_shoulder_press,1,2,5.0,4.0,4.0,True,4.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,17,5_1,0,5,db_shoulder_press,1,3,5.0,4.0,4.0,True,4.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,17,5_1,0,5,db_shoulder_press,1,4,5.0,4.0,4.0,True,4.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,17,5_1,0,5,db_shoulder_press,1,5,5.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,17,5_1,0,5,db_shoulder_press,1,6,5.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,17,5_1,0,5,db_shoulder_press,1,7,5.0,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,17,5_1,0,5,db_shoulder_press,1,8,5.0,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,17,5_1,0,5,db_shoulder_press,1,9,5.0,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,17,5_1,0,5,db_shoulder_press,1,10,5.0,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,17,5_1,0,5,db_shoulder_press,1,11,5.0,9.0,9.0,True,9.0,False
