folder,source_file,source_row_index,row_key,row_instance,exercise_index,exercise,set_id,kg,n_completed_reps,first_rpe,final_rpe,final_rpe_class,mean_rpe,median_rpe,min_rpe,max_rpe,rpe_slope_last_minus_first,stopped_at_rep,has_x,raw_rpe_sequence
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,29,8_1,0,8,db_squat,1,15.0,12,3.0,6.0,6,4.416666666666667,5.0,3.0,6.0,3.0,,False,3.0|3.0|3.0|3.0|3.0|5.0|5.0|5|5|6|6|6
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,30,8_2,0,8,db_squat,2,15.0,12,4.0,7.0,7,5.166666666666667,5.0,4.0,7.0,3.0,,False,4.0|4.0|4.0|4.0|5.0|5.0|5.0|5|5|7|7|7
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,0,1_0,0,1,db_bench_press,0,5.0,12,1.0,3.0,3,1.6666666666666667,1.5,1.0,3.0,2.0,,False,1.0|1.0|1.0|1.0|1.0|1.0|2.0|2.0|2.0|2.0|3.0|3
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,1,1_1,0,1,db_bench_press,1,8.0,12,2.0,6.0,6,3.8333333333333335,4.0,2.0,6.0,4.0,,False,2.0|2.0|3.0|3.0|3.0|4.0|4.0|4.0|5.0|5.0|5.0|6
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,2,1_2,0,1,db_bench_press,2,8.0,12,4.0,8.0,8,5.583333333333333,5.5,4.0,8.0,4.0,,False,4.0|4.0|4.0|5.0|5.0|5.0|6.0|6.0|6.0|7.0|7.0|8
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,4,2_0,0,2,one_arm_db_row,0,10.5,12,1.0,5.0,5,2.8333333333333335,2.5,1.0,5.0,4.0,,False,1.0|1.0|2.0|2.0|2.0|2.0|3.0|3.0|4.0|4.0|5.0|5
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,5,2_1,0,2,one_arm_db_row,1,10.5,12,5.0,8.0,8,6.083333333333333,6.0,5.0,8.0,3.0,,False,5.0|5.0|5.0|5.0|6.0|6.0|6.0|6.0|7.0|7.0|7.0|8
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,6,2_2,0,2,one_arm_db_row,2,10.5,12,6.0,9.0,9,7.0,6.5,6.0,9.0,3.0,,False,6.0|6.0|6.0|6.0|6.0|6.0|7.0|7.0|8.0|8.0|9.0|9
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,8,3_0,0,3,db_rdl,0,10.5,12,1.0,6.0,6,3.4166666666666665,3.5,1.0,6.0,5.0,,False,1.0|1.0|2.0|2.0|2.0|3.0|4.0|4.0|5.0|5.0|6.0|6
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,9,3_1,0,3,db_rdl,1,10.5,11,4.0,10.0,10,6.2727272727272725,6.0,4.0,10.0,6.0,11.0,True,4.0|4.0|4.0|5.0|5.0|6.0|7.0|7.0|8.0|9.0|10.0
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,10,3_2,0,3,db_rdl,2,8.0,12,5.0,8.0,8,6.166666666666667,6.0,5.0,8.0,3.0,,False,5.0|5.0|5.0|6.0|6.0|6.0|6.0|6.0|7.0|7.0|7.0|8
