timestamp,ax,ay,az
9348843,-1276,2547,16425
9348853,-1586,2361,14715
9348869,-502,1796,14329
9348879,-59,1761,15393
9348889,-225,2333,14874
9348899,-1465,2356,14937
9348909,-499,1793,14382
9348919,-688,1805,14899
9348929,-1486,2420,15085
9348939,-305,2396,17793
9348949,-315,1742,14003
9348959,-1310,2092,13906
9348969,-1519,2346,14714
9348979,-1366,2239,14415
9348989,-1366,2239,14415
9348999,-1547,2496,15395
9349009,-40,1900,17804
9349019,-668,2515,17730
9349029,-924,2172,15245
9349039,227,2034,17482
9349049,205,2040,17441
9349059,179,2143,17940
9349069,-613,2430,15588
9349079,-1503,2523,15582
9349089,-1212,2644,16803
9349099,-882,2588,16313
9349109,-1397,2563,16137
9349119,-1423,2564,15937
9349129,-1517,2408,14924
9349139,-1005,2592,17160
9349149,63,2278,18171
9349159,303,1948,17132
9349169,228,2078,17681
9349179,-554,1867,15054
9349189,-1030,2360,15971
9349200,293,1988,17385
9349210,198,2060,17548
9349220,-282,1820,15164
9349236,-1540,2246,14172
9349246,-1456,2246,14299
9349256,-1514,2523,15050
9349266,-1560,2684,16817
9349276,-1224,2368,14863
9349286,-1550,2415,15329
9349296,-1279,2211,14648
9349306,-193,2165,17096
9349316,-1461,2373,15017
9349326,-234,1840,15328
9349336,-133,2311,18012
9349346,-1431,2514,15819
9349356,-589,2004,15206
9349366,-1073,2469,16455
9349376,-1139,2026,14092
9349386,-139,2240,17568
9349396,-664,2145,15806
9349406,-1215,2471,16152
9349416,-589,2195,16304
9349426,-724,1901,14430
9349436,-338,2202,16977
9349446,-570,2063,15600
9349456,-102,2349,18240
9349466,-1363,2397,15487
9349476,-522,2144,16128
9349486,-258,2272,17500
9349496,-747,2208,15951
9349507,-115,2030,16520
9349517,-958,2473,16850
9349527,-416,1915,15194
9349537,-1106,2346,15807
9349547,87,1873,16232
9349557,-870,2461,16919
9349567,-761,1874,14034
9349577,-857,2303,16177
9349587,43,2016,16828
9349597,-1194,2460,16030
9349607,-484,1835,14695
9349617,-439,1897,15182
9349627,-1376,2136,13966
9349637,-1144,1982,13852
9349647,-563,1880,14739
9349657,-13,1766,15491
9349667,-1089,2431,16254
9349677,-734,1929,14477
9349687,-447,2428,17734
9349697,-1058,2097,14702
9349707,166,1838,16255
9349717,-887,2520,17209
9349727,-1557,2381,14869
9349737,-1402,2517,16047
9349747,-336,1938,15445
9349757,-840,2192,15531
9349767,92,2133,17710
9349777,156,2096,17589
9349787,60,1794,15884
9349797,-348,1835,15008
9349807,-1393,2286,14595
9349817,-653,1857,14353
9349827,-897,2442,16742
9349837,222,1865,16640
9349847,208,2064,17549
9349857,222,1861,16640
9349867,23,2263,18148
9349877,238,1863,16781
9349887,-196,1775,15019
9349897,-556,1859,14636
9349907,-1184,2529,16416
9349917,157,2162,17863
9349927,-1019,2506,16703
9349937,-492,1782,14470
9349947,-1518,2357,14676
9349957,-1241,2069,13901
9349967,-1207,2085,14066
9349977,-931,2563,17259
9349987,0,1892,16276
9349997,35,1797,15685
9350007,22,1917,16422
9350017,-1052,2352,15842
9350027,36,2072,17175
9350037,-660,2154,15868
9350047,-1322,2334,15150
9350057,-293,2054,16324
9350067,-706,1804,14167
9350077,-557,1804,14359
9350087,-1089,2435,16319
9350097,-237,1795,15091
9350107,-1179,2010,13936
9350117,-1402,2562,16003
9350127,-234,2382,18034
9350137,-213,1810,15288
9350147,-1255,2045,13864
9350157,-1491,2473,15283
9350171,-564,2223,16376
9350181,-390,2449,18015
9350191,-3,2267,17973
9350206,-525,1895,16907
9350213,-1145,2603,16907
9350223,-136,2333,18136
9350233,-1150,2619,17005
9350243,-1440,2567,16072
9350253,-777,2546,17656
9350266,182,1929,14501
9350276,-831,1941,17745
9350286,-506,2455,16947
9350296,235,1891,16393
9350306,258,1855,14321
9350316,-1210,2094,16965
9350326,-952,2533,17462
9350336,266,1969,16192
9350346,189,1825,15357
9350359,-672,1821,14265
9350369,-1273,2121,14078
9350379,-1098,1995,13969
9350389,-9,2035,16941
9350399,-1420,2443,15545
9350409,-1540,2395,14792
9350419,-1571,2406,14861
9350429,-1155,2025,14016
9350439,-1135,2555,16683
9350449,-422,2457,17924
9350459,-1270,2209,14665
9350469,-3,1754,15527
9350479,-320,2432,18193
9350489,-1112,2491,16574
9350499,-1557,2360,14752
9350511,-1573,2510,15289
9350520,-1536,2267,14291
