feature,anova_f,mutual_info,rf_importance,fold_rf_importance_mean,fold_rf_importance_std,fold_rank_mean,fold_rank_std,top20_fold_count,anova_f_norm,mutual_info_norm,rf_importance_norm,fold_rf_importance_mean_norm,top20_fold_ratio,composite_score,anova_rank,mutual_info_rank,rf_rank,composite_rank,sensor_group,family,source,description
axis_gy__max,770.3664763402229,0.5503198286705837,0.0008338173817184005,0.0008097758672550362,0.00029767573666748283,210.4,30.435177016077954,0,0.05323853306803697,0.41557290536324515,0.031307807812613754,0.02875609553436527,0.0,0.10577506835565224,45.0,112.0,207.0,128.0,gyro,time,gy,max of gy
axis_my__std,346.5282969180322,0.4271119927012679,0.0021408858345765914,0.0028455925265564123,0.0010758861714400918,109.4,33.1028699662129,0,0.023947898514646123,0.3225327572715876,0.08038503841157332,0.10105034473663875,0.0,0.10558320778688916,96.0,158.0,126.0,129.0,mag,time,my,std of my
axis_az__iqr,420.7880651164236,0.4532995068492207,0.0023887047858306178,0.001832527624862949,0.001024112942967745,149.4,56.06959960620372,0,0.029079847069360766,0.34230820560496067,0.08969003524696532,0.06507521597124344,0.0,0.10523066077850604,79.0,153.0,116.0,130.0,acc,time,az,iqr of az
axis_az__spectral_entropy,493.41894128561773,0.49671794979945094,0.0018346808857430603,0.0010853599572435396,0.0003157082450549778,180.6,23.028243528328428,0,0.0340992260551442,0.3750955549664466,0.0688877898538681,0.03854241140263583,0.0,0.10332499645561895,74.0,125.0,141.0,131.0,acc,time_frequency,az,spectral_entropy of az
gyro_norm__spectral_entropy,576.155339748244,0.5087424470799689,0.0016714184975137767,0.0007837297300318586,0.000698052090334999,220.2,56.975433302433075,0,0.03981697808714916,0.3841758297631384,0.06275768560588905,0.027831166500817035,0.0,0.10291633199139874,63.0,123.0,148.0,132.0,gyro,time_frequency,gyro_norm,spectral_entropy of gyro_norm
axis_my__range,361.3799509848856,0.40292543688841453,0.0021095479641704547,0.002987607024118772,0.0013701602718635285,104.4,38.01710141502111,0,0.02497426752269214,0.30426832857717045,0.07920837785562528,0.10609344693850015,0.0,0.1029088841787976,91.0,166.0,129.0,133.0,mag,time,my,range of my
axis_az__low_band_ratio,324.2806409503594,0.4770639376379604,0.002037270289394324,0.0015092284911663219,0.0007872820604161413,172.0,62.11682541791716,0,0.02241040615964628,0.3602538674413469,0.07649452755621053,0.05359448265886166,0.0,0.1025506567632131,100.0,136.0,133.0,134.0,acc,time_frequency,az,low_band_ratio of az
axis_gz__haar_l1_energy_ratio,119.99893073713889,0.5296221539904664,0.001149470249222695,0.0015313276771223435,0.0007695161050589809,159.2,38.82911278924617,0,0.008292893367489703,0.3999430981984586,0.0431598026594451,0.05437925080061577,0.0,0.10115500900520183,174.0,120.0,183.0,135.0,gyro,wavelet,gz,haar_l1_energy_ratio of gz
corr__ax__mz,220.14552666515667,0.48574528691017704,0.0013419297689857717,0.001945040625533401,0.00037431374149377597,133.8,16.78392087683924,0,0.015213830379565044,0.36680957078251747,0.05038618794303384,0.06907068524486484,0.0,0.10029605486999624,121.0,130.0,172.0,136.0,acc_mag,axis_correlation,"ax,mz",Correlation between ax and mz
axis_mx__haar_l1_energy_ratio,24.2157825667966,0.5322516755364739,0.0007252809000318814,0.0019772665363076195,0.0008443127182360694,137.0,36.932370625238775,0,0.0016735057671193744,0.4019287760745936,0.02723252780070533,0.07021506532135025,0.0,0.10020997499275372,322.0,117.0,221.0,137.0,mag,wavelet,mx,haar_l1_energy_ratio of mx
axis_az__mid_band_ratio,281.9986561809204,0.45492947963094155,0.0024255704616392947,0.0012220129523157455,0.0005636112298681901,184.4,53.56584732831172,0,0.019488380197374432,0.34353907625375973,0.09107425140557016,0.04339512033143363,0.0,0.0994993656376276,107.0,152.0,112.0,138.0,acc,time_frequency,az,mid_band_ratio of az
all9_norm__mid_band_ratio,154.29273566896472,0.5055312070893416,0.0016664437686849767,0.0011525726303586552,0.000807772165852686,193.4,66.86777998408502,0,0.0106628717141143,0.3817508683803233,0.06257089667883291,0.040929212648973305,0.0,0.09918276988444877,149.0,124.0,149.0,139.0,all9,time_frequency,all9_norm,mid_band_ratio of all9_norm
corr__ax__gz,178.84457052201242,0.32042169920685826,0.003127722163657149,0.0034063798384902713,0.0020086226358522097,100.6,37.76638717166364,0,0.012359601402969161,0.24196579796605763,0.11743833426598087,0.12096456318710178,0.0,0.0985456593644219,138.0,207.0,96.0,140.0,acc_gyro,axis_correlation,"ax,gz",Correlation between ax and gz
axis_gz__haar_l4_energy_ratio,180.5515110155207,0.4642530826226521,0.0020538767123637254,0.0014698647291233242,0.00076380986990887,168.4,52.7569900581904,0,0.01247756474989533,0.3505797761919731,0.07711805821193939,0.05219662907038968,0.0,0.0984744056448395,137.0,148.0,131.0,141.0,gyro,wavelet,gz,haar_l4_energy_ratio of gz
axis_az__std,451.5030160447783,0.4444345114827444,0.0016310030467307929,0.0017803757792502195,0.0008023269644424904,147.8,40.07118665575054,0,0.03120249775692803,0.3356138222872127,0.06124018405996765,0.0632232424618121,0.0,0.0982559493131841,78.0,155.0,152.0,142.0,acc,time,az,std of az
axis_my__haar_l1_energy_ratio,46.8347229630892,0.35908485933644796,0.002654357488497687,0.003229877657966096,0.0016350103529668592,99.6,47.58991489801174,0,0.003236656868881701,0.27116220512513123,0.09966464592593877,0.11469676271240765,0.0,0.09775205412647187,261.0,180.0,105.0,143.0,mag,wavelet,my,haar_l1_energy_ratio of my
corr__ay__mx,150.38137947548415,0.37806270909593165,0.002581671461744094,0.0026311497962662692,0.00040182877739718045,109.0,16.8967452487158,0,0.010392565473587393,0.2854932899801832,0.09693546300632373,0.09343523061897964,0.0,0.09725130981581478,154.0,176.0,107.0,144.0,acc_mag,axis_correlation,"ay,mx",Correlation between ay and mx
axis_ay__iqr,176.8679666515199,0.32761480241136365,0.0031237871975430495,0.0030025249283947607,0.0011726184519240425,100.2,34.766363053963524,0,0.01222300214306685,0.2473976552998106,0.11729058589139615,0.10662319930317236,0.0,0.0967068885274892,139.0,200.0,97.0,145.0,acc,time,ay,iqr of ay
axis_ax__zero_crossing_rate,374.6377225417869,0.5390671931681523,0.0007463289392095919,0.000551743755771952,0.00014997923699302265,237.6,27.835229476330888,0,0.025890486401781643,0.40707550042685464,0.028022830305613623,0.019593071111454606,0.0,0.09611637764914091,89.0,115.0,216.0,146.0,acc,time,ax,zero_crossing_rate of ax
axis_az__high_band_ratio,357.06901416834853,0.47637254598945233,0.0013155748389893493,0.0012224524738814343,0.0003964147075914455,178.4,35.760313197733595,0,0.024676347040285183,0.35973176443661153,0.049396624638965485,0.0434107282602982,0.0,0.09544309287523209,93.0,137.0,174.0,147.0,acc,time_frequency,az,high_band_ratio of az
axis_mx__mid_band_ratio,58.63550064790372,0.49248709252836065,0.001218236304928973,0.0014843091352978485,0.0012476705300321941,175.4,64.03358493790583,0,0.004052185727284528,0.371900631656902,0.04574180023263881,0.05270956695936357,0.0,0.09488083691523778,237.0,127.0,180.0,148.0,mag,time_frequency,mx,mid_band_ratio of mx
axis_ay__std,185.74472841772786,0.33711377081683924,0.0026077578822899156,0.0028855772747733697,0.0021559867347179444,121.6,60.11904856199905,0,0.012836457932410722,0.25457078207547706,0.09791494443579987,0.10247025027610852,0.0,0.09355848694395924,135.0,194.0,106.0,149.0,acc,time,ay,std of ay
axis_my__high_band_ratio,167.9498498867846,0.37279373089590884,0.002419460856063458,0.0023368846591823823,0.0009758661350577566,121.2,33.640749099863996,0,0.011606688389982025,0.28151443175119906,0.09084485062624727,0.08298552874887896,0.0,0.09339029990326146,144.0,177.0,113.0,150.0,mag,time_frequency,my,high_band_ratio of my
all9_norm__max,493.30034538529395,0.5146021420735596,0.0005450239780699497,0.0006084078700526056,0.00031423698234187724,230.6,43.49482727865464,0,0.03409103012248742,0.3886007665838078,0.020464320284993703,0.02160528059992468,0.0,0.09295227951824273,75.0,122.0,245.0,151.0,all9,time,all9_norm,max of all9_norm
all9_norm__spectral_entropy,491.4978915408573,0.4714896121432388,0.0005942566147739483,0.0014264636964904773,0.0015293724011128775,187.2,69.09196769523936,0,0.03396646603312501,0.3560444268204666,0.022312885644545748,0.05065540724451476,0.0,0.09259583714853044,76.0,142.0,236.0,152.0,all9,time_frequency,all9_norm,spectral_entropy of all9_norm
axis_ay__haar_l3_energy_ratio,318.9471723288522,0.47518901107911127,0.001429461107081895,0.0007779271753134094,0.0005122503892463003,225.2,56.90957740134784,0,0.022041820487379765,0.3588380204432733,0.05367277607465406,0.027625110943255506,0.0,0.09243554558971252,101.0,140.0,164.0,153.0,acc,wavelet,ay,haar_l3_energy_ratio of ay
axis_my__haar_l2_energy_ratio,45.18206677885568,0.3587265961623527,0.0023733015314704995,0.0026371038333459318,0.0016726493774980391,121.6,48.44894219691489,0,0.0031224450052860756,0.27089166341395376,0.08911168063626922,0.09364666549374111,0.0,0.09135449090985004,266.0,182.0,117.0,154.0,mag,wavelet,my,haar_l2_energy_ratio of my
axis_gy__min,672.0350055788608,0.47844967839275165,0.0006057291392284628,0.0006727640211217267,0.00014201546392650708,218.4,16.47118696390761,0,0.046443035835826804,0.3613003067690739,0.02274365093994799,0.023890643381407572,0.0,0.09087552738525126,57.0,135.0,234.0,155.0,gyro,time,gy,min of gy
gyro_norm__max,554.6381951040031,0.4785570124701941,0.000577134847401637,0.0009202384753923731,0.0005746700874060256,208.8,52.06438321924116,0,0.0383299699528982,0.36138135988052544,0.021670005064148304,0.03267875295232459,0.0,0.09081201756997931,66.0,134.0,240.0,156.0,gyro,time,gyro_norm,max of gyro_norm
axis_my__low_band_ratio,164.85785733750214,0.35748550787632594,0.00233961669535269,0.0021538581204467474,0.0005845940493183291,126.0,24.052026941611388,0,0.011393006781764692,0.2699544581053928,0.08784689724544764,0.07648604062379198,0.0,0.08913608055127943,146.0,183.0,119.0,157.0,mag,time_frequency,my,low_band_ratio of my
axis_mx__low_band_ratio,56.069517497458584,0.4587207754420932,0.0013487450693692763,0.001121744767242509,0.0005800318766676316,187.8,44.30237013975663,0,0.0038748556084351364,0.34640206561603276,0.0506420858401876,0.039834478892714006,0.0,0.0881506971914739,241.0,151.0,171.0,158.0,mag,time_frequency,mx,low_band_ratio of mx
corr__ay__mz,226.14482230356924,0.4076786834671422,0.0016648640100495704,0.0014577250658050524,0.0002127898860952299,158.4,14.20563268566381,0,0.015628430065610443,0.3078577331156214,0.06251158059735991,0.051765535316856875,0.0,0.08755265581908973,119.0,164.0,150.0,159.0,acc_mag,axis_correlation,"ay,mz",Correlation between ay and mz
all9_norm__range,563.30916214149,0.45951838007634516,0.0003645113081079013,0.0010131298870313945,0.0012900297073315465,227.2,83.00722860088753,0,0.03892920366767531,0.3470043751420914,0.013686510056012152,0.035977436471343896,0.0,0.08711950506742457,65.0,149.0,277.0,160.0,all9,time,all9_norm,range of all9_norm
axis_mz__haar_l1_energy_ratio,20.987407923091094,0.3528369236507536,0.0017992283139490201,0.002766634477348396,0.001244701451570841,112.4,27.09797040370367,0,0.0014503990568670688,0.26644408913120265,0.06755663230243492,0.09824645134089036,0.0,0.086739514366279,334.0,185.0,143.0,161.0,mag,wavelet,mz,haar_l1_energy_ratio of mz
gyro_norm__zero_crossing_rate,312.96640461995287,0.48303936267781244,0.0007170607638296656,0.0005255934148658133,0.0005694145326811461,274.6,91.49480859589795,0,0.02162850123060844,0.364766197572337,0.026923881746959002,0.01866444168229886,0.0,0.08639660444644066,102.0,132.0,222.0,162.0,gyro,time,gyro_norm,zero_crossing_rate of gyro_norm
gyro_norm__range,530.8396371606583,0.47990186228488696,0.00022773219137450668,0.0006470765921959576,0.0002515854353812751,226.0,40.52159917870962,0,0.036685297770305984,0.3623969204975565,0.008550788022198282,0.022978452502312143,0.0,0.08612229175847458,71.0,133.0,308.0,163.0,gyro,time,gyro_norm,range of gyro_norm
all9_norm__zero_crossing_rate,393.96407516947573,0.46455083989391355,0.0005164742659894934,0.0008308951707322006,0.0006138656479170463,220.6,61.67495439803746,0,0.027226093148770142,0.3508046269930247,0.019392348269876545,0.02950606689430124,0.0,0.08538582706119453,87.0,146.0,250.0,164.0,all9,time,all9_norm,zero_crossing_rate of all9_norm
axis_ay__haar_l2_energy_ratio,218.326293358139,0.4755653083786835,0.0006150858411489131,0.0007863416267537844,0.0003676333297313031,218.2,50.86944072820145,0,0.01508810669408712,0.3591221805878229,0.023094972262707732,0.027923918032072458,0.0,0.08504583551533804,122.0,139.0,233.0,165.0,acc,wavelet,ay,haar_l2_energy_ratio of ay
all9_norm__high_band_ratio,105.83207059027657,0.4680817694649382,0.0010160445979335703,0.0006645541463895668,0.0004757184806522864,236.0,67.21235005562593,0,0.007313849139108856,0.353471001315768,0.038149995069174096,0.023599101052635248,0.0,0.08450678931533724,187.0,143.0,193.0,166.0,all9,time_frequency,all9_norm,high_band_ratio of all9_norm
axis_ax__haar_l4_energy_ratio,599.2903892074177,0.46442927595149675,0.00037367644476372263,0.0004458358736848034,0.0006915115930093576,297.0,85.53946457629952,0,0.04141579648526301,0.3507128282278238,0.014030638570586224,0.015832157384223007,0.0,0.08439828413357921,62.0,147.0,275.0,167.0,acc,wavelet,ax,haar_l4_energy_ratio of ax
axis_my__haar_l4_energy_ratio,39.23785484875711,0.3587601425695013,0.0018160048478188823,0.002121305396697291,0.0005160127340355394,128.8,20.96902477465273,0,0.002711652047488401,0.27091699591545004,0.06818655020733276,0.07533005503333927,0.0,0.0834290506407221,279.0,181.0,142.0,168.0,mag,wavelet,my,haar_l4_energy_ratio of my
axis_gz__zero_crossing_rate,279.8753031368764,0.4085076618786454,0.000998756258159059,0.0014224412157645239,0.0006192633977543338,166.0,36.585516259853435,0,0.019341639386705346,0.3084837344861045,0.03750086010158192,0.050512564212611674,0.0,0.0831677596374007,108.0,163.0,195.0,169.0,gyro,time,gz,zero_crossing_rate of gz
axis_my__mid_band_ratio,156.39804910825598,0.3381732833007782,0.0017864753501952333,0.0023026841304921663,0.0007898860960831487,125.2,27.914154115788644,0,0.010808365842686412,0.25537087078440623,0.06707778963616434,0.08177102766270136,0.0,0.08300561078519167,148.0,192.0,144.0,170.0,mag,time_frequency,my,mid_band_ratio of my
axis_my__haar_l3_energy_ratio,43.749136270854805,0.34149525340211806,0.0015524980290180033,0.0026664098556304647,0.0014670558925181263,119.8,44.73477394600312,0,0.003023417957020917,0.25787944978632693,0.05829251223066065,0.09468735688826602,0.0,0.0827765473724549,268.0,189.0,156.0,171.0,mag,wavelet,my,haar_l3_energy_ratio of my
axis_my__spectral_entropy,202.56939007530877,0.32952400945910565,0.0021403518574151957,0.0019824722362639467,0.0003821162711705858,132.4,17.300289014926886,0,0.013999177668439411,0.24883938913972473,0.0803649888722955,0.07039992586279219,0.0,0.08272069630865037,126.0,198.0,127.0,172.0,mag,time_frequency,my,spectral_entropy of my
axis_ay__spectral_entropy,262.70346734820225,0.33342006398305646,0.002483634769523099,0.00137201142154742,0.0008106715699233884,176.0,54.95452665613634,0,0.018154927119814743,0.2517814868320487,0.09325442446487023,0.048721742778032304,0.0,0.08238251623895321,113.0,197.0,110.0,173.0,acc,time_frequency,ay,spectral_entropy of ay
axis_az__zero_crossing_rate,394.43590645033237,0.4326286322058337,0.0007359407349462819,0.0008088375162383068,0.0003293025197364929,212.4,29.64456105257759,0,0.027258700493481915,0.3266986364336964,0.02763277858718624,0.028722773583720693,0.0,0.08206257781961704,85.0,156.0,219.0,174.0,acc,time,az,zero_crossing_rate of az
axis_gy__zero_crossing_rate,248.99444242242396,0.44637915768943026,0.0004457393786040879,0.0009938767629373972,0.00031039101231459593,194.8,33.12400941915094,0,0.017207522995599894,0.33708231793631244,0.016736425871922676,0.03529373534098209,0.0,0.08126400042896342,116.0,154.0,265.0,175.0,gyro,time,gy,zero_crossing_rate of gy
axis_my__iqr,311.8581512314215,0.3633460408161233,0.0013659773263539846,0.0015386875763276813,0.0003932252361332436,157.0,16.97056274847714,0,0.021551911988364425,0.2743800276994451,0.051289115035888656,0.054640609496558905,0.0,0.08037233284405142,103.0,179.0,170.0,176.0,mag,time,my,iqr of my
axis_mz__haar_l3_energy_ratio,23.15526658998722,0.32636128700907996,0.002306837500558797,0.0018694659643028473,0.0007627496751619478,143.4,31.714350064284783,0,0.0016002155648136179,0.24645106567954736,0.08661611847618708,0.0663869399442178,0.0,0.08021086793295316,325.0,201.0,121.0,177.0,mag,wavelet,mz,haar_l3_energy_ratio of mz
gyro_norm__mid_band_ratio,117.16836103853676,0.4650530118802325,0.0003516522650397076,0.0006863569946539731,0.00043477910346630274,228.2,64.1809940714539,0,0.008097278185458,0.35118384115263573,0.013203684370364482,0.024373345893664914,0.0,0.07937162992042464,176.0,145.0,280.0,178.0,gyro,time_frequency,gyro_norm,mid_band_ratio of gyro_norm
acc_norm__dominant_freq_ratio,79.94767918310305,0.2967232929846073,0.002157356422942573,0.0023723393017827743,0.001557343734816128,128.4,45.99782603558563,0,0.005525029051267674,0.22406999444749243,0.08100346880943828,0.08424456489823923,0.0,0.07896861144128751,215.0,216.0,125.0,179.0,acc,time_frequency,acc_norm,dominant_freq_ratio of acc_norm
axis_ay__haar_l1_energy_ratio,195.02501791320634,0.43165226664139,0.0006840114275768637,0.0007851252079791081,0.0002958116332134496,212.0,40.049968789001575,0,0.013477800740489754,0.3259613359528239,0.025682959825177078,0.027880721567582898,0.0,0.07860056361721474,130.0,157.0,225.0,180.0,acc,wavelet,ay,haar_l1_energy_ratio of ay
axis_mz__haar_l2_energy_ratio,19.94275692859454,0.3401965652496788,0.0013184870144866123,0.002294218988597869,0.0014575561966487984,132.4,38.318402889473354,0,0.0013782052527191058,0.25689874805516494,0.04950596972193439,0.08147042049611646,0.0,0.07785066870518698,339.0,191.0,173.0,181.0,mag,wavelet,mz,haar_l2_energy_ratio of mz
gyro_norm__low_band_ratio,113.70322563452675,0.45903770918926634,0.0006054999503783436,0.0003305392573813259,0.00012103358580561705,274.2,18.458060569843195,0,0.00785780939825426,0.3466413974940764,0.0227350454579448,0.011737838638406823,0.0,0.07779441819773646,180.0,150.0,235.0,182.0,gyro,time_frequency,gyro_norm,low_band_ratio of gyro_norm
