feature,anova_f,mutual_info,rf_importance,fold_rf_importance_mean,fold_rf_importance_std,fold_rank_mean,fold_rank_std,top20_fold_count,anova_f_norm,mutual_info_norm,rf_importance_norm,fold_rf_importance_mean_norm,top20_fold_ratio,composite_score,anova_rank,mutual_info_rank,rf_rank,composite_rank,sensor_group,family,source,description
axis_mx__high_band_ratio,44.91144084046916,0.3827190680520678,0.0009945857624525704,0.0006343977796381666,0.00031536226996000804,231.4,31.887301547794856,0,0.003103742571558292,0.28900953002643087,0.0373442681655959,0.02252821292378526,0.0,0.07039715073747406,267.0,173.0,196.0,193.0,mag,time_frequency,mx,high_band_ratio of mx
acc_norm__iqr,263.8814183287411,0.3159703927977566,0.0012879342236148943,0.0012194936092704994,0.000623065841822942,181.0,38.13135192987524,0,0.018236333027465183,0.23860440293589655,0.04835878698657403,0.04330565549033073,0.0,0.06970103568805329,111.0,209.0,177.0,194.0,acc,time,acc_norm,iqr of acc_norm
axis_gz__mid_band_ratio,48.83614896960672,0.415237373704485,0.00045539858005456187,0.00039868008400546957,0.00019323395753965812,263.0,28.521921393903323,0,0.0033749715384626166,0.3135656627576653,0.017099105313806616,0.014157599709870525,0.0,0.069639467863961,257.0,161.0,262.0,195.0,gyro,time_frequency,gz,mid_band_ratio of gz
acc_pca__pca3_var_ratio,294.739115323637,0.39961970419008397,0.00015595374684449585,0.0004684934408033095,0.00032756703931671456,255.4,40.27778544061229,0,0.020368848618837695,0.3017720112172851,0.005855682600190088,0.016636754299224493,0.0,0.06892665934710748,105.0,167.0,331.0,196.0,acc,pca,acc_pca,PCA variance ratio
mag_norm__skewness,85.24961091231532,0.21189228249410075,0.002408562776857965,0.002379144841842223,0.0013032193617107527,128.2,44.03067112820335,0,0.005891435270072919,0.16001002848260598,0.09043565434805377,0.08448623764748506,0.0,0.06816467114964356,208.0,267.0,115.0,197.0,mag,time,mag_norm,skewness of mag_norm
axis_gz__low_band_ratio,51.10795499204786,0.4094559498591823,0.0003861923498342014,0.0002908754584990419,0.0001339562542787603,284.2,28.717590428167888,0,0.003531971646546867,0.3091998322362887,0.014500580261823123,0.01032933038811639,0.0,0.06751234290655503,251.0,162.0,271.0,198.0,gyro,time_frequency,gz,low_band_ratio of gz
axis_ay__haar_l4_energy_ratio,104.30564020276451,0.39269968284565193,0.0005656099565335719,0.000345184362781027,0.00017453682656259505,276.4,38.843274836192684,0,0.0072083604955120026,0.2965463710977416,0.021237273537713673,0.012257903593432233,0.0,0.0674499817448799,190.0,170.0,241.0,199.0,acc,wavelet,ay,haar_l4_energy_ratio of ay
axis_mz__std,565.6286455011376,0.32448062020514,0.0004996663612496937,0.0008886822991361808,0.000947100999708453,220.8,66.2057399324258,0,0.039089498664064574,0.2450308839470055,0.018761252465370897,0.03155815593799477,0.0,0.06688795820288715,64.0,203.0,252.0,200.0,mag,time,mz,std of mz
axis_gy__mid_band_ratio,30.65077675141078,0.4039362704427223,0.00022125446707096618,0.0003538556951655372,0.00012344034431381495,270.2,23.794957449005878,0,0.002118215734663324,0.30503165749086253,0.008307565283017203,0.012565832827362684,0.0,0.06560465426718114,305.0,165.0,310.0,201.0,gyro,time_frequency,gy,mid_band_ratio of gy
axis_mz__iqr,535.5256057293378,0.32199555705271665,0.0005378542831546553,0.0007199682474729389,0.0005822476283076936,235.4,75.71195414199795,0,0.03700913596973621,0.24315429353455664,0.02019511573804541,0.02556692109907108,0.0,0.06518509326828187,68.0,206.0,247.0,202.0,mag,time,mz,iqr of mz
axis_ax__haar_l3_energy_ratio,249.36799799576409,0.3851555356327885,0.00015721827128517267,0.0002249476228026887,0.0001259629348397622,302.4,28.58845920996793,0,0.017233338696769157,0.2908494235912138,0.005903162406957217,0.007988155232965482,0.0,0.06439481598558112,115.0,172.0,330.0,203.0,acc,wavelet,ax,haar_l3_energy_ratio of ax
mag_norm__haar_l1_energy_ratio,51.24143314325687,0.33784442530595005,0.0005517176523130306,0.001170239426810819,0.0011281240842076704,207.6,93.3021971874189,0,0.0035411960626984635,0.25512253433486776,0.020715651417394336,0.04155658141495877,0.0,0.06418719264598387,249.0,193.0,242.0,204.0,mag,wavelet,mag_norm,haar_l1_energy_ratio of mag_norm
corr__mx__my,81.19601475773264,0.27603930220082473,0.0016105458233485997,0.001298023834608464,0.000575315866755564,175.8,41.336424615585706,0,0.005611299101706075,0.20845052064934147,0.06047206524633789,0.046094356356174794,0.0,0.06412564827071206,212.0,230.0,155.0,205.0,mag,axis_correlation,"mx,my",Correlation between mx and my
axis_gy__low_band_ratio,31.32485774823293,0.3863145565485837,0.0003229880331389275,0.00038635477891968775,0.00022362554296229858,268.2,44.296726741374464,0,0.0021648001649858116,0.2917246558911608,0.012127412415471495,0.01371991359835627,0.0,0.06394735641399488,301.0,171.0,287.0,206.0,gyro,time_frequency,gy,low_band_ratio of gy
axis_my__zero_crossing_rate,189.27340745025646,0.3050294297890761,0.0009804531558910013,0.0010883881731985428,0.0004931699450286276,185.4,35.00428545192717,0,0.013080318096539666,0.230342356852671,0.03681362327881143,0.03864994692057605,0.0,0.06377724902971962,132.0,211.0,198.0,207.0,mag,time,my,zero_crossing_rate of my
gyro_norm__high_band_ratio,51.46269513595518,0.367133445165571,0.00035840662902657814,0.00031169559808039615,0.00014103425542794836,280.8,36.772272162595556,0,0.003556487049880214,0.2772400784322845,0.013457294254535497,0.011068678085485693,0.0,0.061064507564437175,248.0,178.0,279.0,208.0,gyro,time_frequency,gyro_norm,high_band_ratio of gyro_norm
axis_gz__high_band_ratio,51.1330436727954,0.3228144183256636,0.0008312203492457228,0.0006859602948947703,0.000467449267037577,227.6,53.38351805566958,0,0.0035337054766142874,0.24377265496832518,0.031210295581134306,0.024359258617623007,0.0,0.060575182928739355,250.0,205.0,208.0,209.0,gyro,time_frequency,gz,high_band_ratio of gz
mag_norm__haar_l2_energy_ratio,46.43401828188741,0.300901711610988,0.0009224155640733118,0.0010131273869098405,0.0009359385073595718,214.6,69.99142804658295,0,0.003208964945523321,0.22722531882056413,0.034634453342595344,0.0359773476890806,0.0,0.06020921695955268,263.0,213.0,202.0,210.0,mag,wavelet,mag_norm,haar_l2_energy_ratio of mag_norm
acc_norm__std,131.82779424137553,0.24756045785143765,0.0013138396522380214,0.0013719801590510246,0.0005696109353296152,166.8,34.77355316903925,0,0.009110363182400853,0.18694477894955117,0.049331472611050683,0.048720632609936,0.0,0.05882144947058774,162.0,240.0,175.0,211.0,acc,time,acc_norm,std of acc_norm
acc_norm__diff_abs_mean,75.4692309136749,0.2114964285708001,0.001723112824256964,0.001771776532811583,0.0010827227947746102,153.2,54.232831384688005,0,0.005215532177236845,0.15971110019320944,0.06469868141883645,0.06291787308478779,0.0,0.05850863737481411,216.0,268.0,145.0,212.0,acc,time,acc_norm,diff_abs_mean of acc_norm
axis_ax__skewness,102.36854150282166,0.1729897947662944,0.0020443596760252284,0.002186440033746421,0.0009260781989306602,130.2,33.69272918598314,0,0.007074491361326816,0.13063289357188157,0.07676071672306652,0.07764306276957882,0.0,0.05842223288517075,192.0,288.0,132.0,213.0,acc,time,ax,skewness of ax
acc_pca__pca2_var_ratio,240.71493466834906,0.3033143762729793,0.0005075490930711897,0.0007134078370477587,0.0008493961168232222,238.6,64.79428987187066,0,0.016635342272671192,0.22904723765942014,0.019057229808032143,0.025333953192074026,0.0,0.0580147525864395,117.0,212.0,251.0,214.0,acc,pca,acc_pca,PCA variance ratio
axis_gy__diff_rms,65.87450526036443,0.19688662114946576,0.0015059456995711199,0.0022453090610926258,0.0008916345576122616,124.6,33.94554462665167,0,0.004552459296133281,0.14867853367357614,0.056544585867517594,0.07973357131995214,0.0,0.05790183003143583,229.0,278.0,157.0,215.0,gyro,time,gy,diff_rms of gy
mag_norm__iqr,202.7566041855443,0.2915760997553001,0.0007831982356397784,0.0007012523451894312,0.00023131774215625904,216.4,31.722231951740092,0,0.01401211567249941,0.22018310189278198,0.029407182409720276,0.024902297348426642,0.0,0.057700939464685665,125.0,220.0,211.0,216.0,mag,time,mag_norm,iqr of mag_norm
mag_norm__low_band_ratio,134.69714539226138,0.2853713586357429,0.0011060864856722906,0.0006238595782236294,0.0001583186722906744,229.2,21.97043467935944,0,0.009308658475383957,0.21549760418809244,0.041530848213059315,0.022153988970107747,0.0,0.05769821996932869,161.0,223.0,186.0,217.0,mag,time_frequency,mag_norm,low_band_ratio of mag_norm
mag_norm__diff_abs_mean,29.01518960164596,0.2114858753737554,0.0014198468347724322,0.0020546190868811973,0.0014702397571596639,147.2,61.840116429385866,0,0.0020051834789347476,0.1597031309678095,0.053311783612368775,0.07296194556817795,0.0,0.057596408725458195,307.0,269.0,166.0,218.0,mag,time,mag_norm,diff_abs_mean of mag_norm
gyro_norm__haar_l4_energy_ratio,121.97729880023537,0.3340288581455457,0.00048072688709273944,0.00023313070360464206,9.951281056410076e-05,299.0,33.81567683782183,0,0.008429614547321254,0.25224121651230574,0.018050121431191828,0.00827874607769399,0.0,0.057399939713702566,170.0,196.0,255.0,219.0,gyro,wavelet,gyro_norm,haar_l4_energy_ratio of gyro_norm
axis_gz__kurtosis,61.131757124410996,0.33579019161888635,0.00031240979351199584,0.0004491611321109538,0.00026028549006468465,257.0,44.39031425885607,0,0.004224697170931696,0.2535712839216483,0.011730225332907655,0.01595024123043958,0.0,0.05709528953118544,232.0,195.0,292.0,220.0,gyro,time,gz,kurtosis of gz
mag_norm__haar_l3_energy_ratio,42.44753880831993,0.30748148958902144,0.0005809854753571804,0.0007647319859100281,0.0006712117199071119,226.4,59.852318250841385,0,0.002933467080809849,0.2321940248502595,0.0218145867467004,0.02715653421428493,0.0,0.05681972257841093,271.0,210.0,238.0,221.0,mag,wavelet,mag_norm,haar_l3_energy_ratio of mag_norm
axis_ax__slope,20.14251129777147,0.3423297181973428,0.00014490078322196173,0.0005142121538926121,0.0002623238897939173,247.6,38.61735361207446,0,0.0013920098897529402,0.25850959418837877,0.005440670790120895,0.018260279689973343,0.0,0.05672051091164519,338.0,188.0,334.0,222.0,acc,time,ax,slope of ax
axis_gy__kurtosis,101.48953100311903,0.3449261624632025,0.0001760863453761123,0.0002552989245424906,0.00012444984081278794,292.2,32.52230004166372,0,0.007013744650517319,0.26047029382332315,0.006611612542904124,0.009065965733024765,0.0,0.05663232334995386,193.0,186.0,321.0,223.0,gyro,time,gy,kurtosis of gy
mag_norm__diff_rms,25.954594608315027,0.23399217825799878,0.0010231722484671493,0.0017759313190347345,0.001618354137750607,171.8,81.61311169168837,0,0.001793671694914234,0.17669872006221743,0.03841762095219524,0.06306541444084575,0.0,0.05599508543003453,317.0,251.0,192.0,224.0,mag,time,mag_norm,diff_rms of mag_norm
acc_norm__high_band_ratio,106.51762781653228,0.22232668698599678,0.001484464226122708,0.001200927651047282,0.00044774888211460124,177.4,28.16558183315232,0,0.007361226669389558,0.1678895479266131,0.0557380089635094,0.042646356430007255,0.0,0.05472702799790387,186.0,258.0,159.0,225.0,acc,time_frequency,acc_norm,high_band_ratio of acc_norm
mag_norm__mid_band_ratio,126.03416506127445,0.28721156379219437,0.000799498692217777,0.0004955083288411785,0.00021222483806108698,248.0,39.61691557908061,0,0.008709976706402988,0.21688723138938434,0.030019224774140766,0.017596084816075375,0.0,0.0546425035372007,167.0,221.0,210.0,226.0,mag,time_frequency,mag_norm,mid_band_ratio of mag_norm
all9_norm__haar_l4_energy_ratio,65.81283739399908,0.31885549831329296,0.0003718919734800023,0.0003876746078930979,0.00030674926607194354,276.2,56.22454979810866,0,0.004548197549492482,0.24078308452959332,0.013963636028755414,0.013766782280893154,0.0,0.05461234007774688,230.0,208.0,276.0,227.0,all9,wavelet,all9_norm,haar_l4_energy_ratio of all9_norm
all9_norm__diff_abs_mean,51.97183389496773,0.24304399197754778,0.0010991261427827036,0.0012300659447082923,0.0005776710737778013,178.6,41.00365837336956,0,0.003591672642050165,0.18353417888136814,0.041269504323767886,0.04368109158340805,0.0,0.054415289486118845,245.0,244.0,187.0,228.0,all9,time,all9_norm,diff_abs_mean of all9_norm
