feature,sensor_group,family,source,description
axis_mz__low_band_ratio,mag,time_frequency,mz,low_band_ratio of mz
axis_mz__max,mag,time,mz,max of mz
axis_mz__mean,mag,time,mz,mean of mz
axis_mz__median,mag,time,mz,median of mz
axis_mz__mid_band_ratio,mag,time_frequency,mz,mid_band_ratio of mz
axis_mz__min,mag,time,mz,min of mz
axis_mz__range,mag,time,mz,range of mz
axis_mz__rms,mag,time,mz,rms of mz
axis_mz__skewness,mag,time,mz,skewness of mz
axis_mz__slope,mag,time,mz,slope of mz
axis_mz__spectral_entropy,mag,time_frequency,mz,spectral_entropy of mz
axis_mz__std,mag,time,mz,std of mz
axis_mz__zero_crossing_rate,mag,time,mz,zero_crossing_rate of mz
corr__ax__ay,acc,axis_correlation,"ax,ay",Correlation between ax and ay
corr__ax__az,acc,axis_correlation,"ax,az",Correlation between ax and az
corr__ax__gx,acc_gyro,axis_correlation,"ax,gx",Correlation between ax and gx
corr__ax__gy,acc_gyro,axis_correlation,"ax,gy",Correlation between ax and gy
corr__ax__gz,acc_gyro,axis_correlation,"ax,gz",Correlation between ax and gz
corr__ax__mx,acc_mag,axis_correlation,"ax,mx",Correlation between ax and mx
corr__ax__my,acc_mag,axis_correlation,"ax,my",Correlation between ax and my
corr__ax__mz,acc_mag,axis_correlation,"ax,mz",Correlation between ax and mz
corr__ay__az,acc,axis_correlation,"ay,az",Correlation between ay and az
corr__ay__gx,acc_gyro,axis_correlation,"ay,gx",Correlation between ay and gx
corr__ay__gy,acc_gyro,axis_correlation,"ay,gy",Correlation between ay and gy
corr__ay__gz,acc_gyro,axis_correlation,"ay,gz",Correlation between ay and gz
corr__ay__mx,acc_mag,axis_correlation,"ay,mx",Correlation between ay and mx
corr__ay__my,acc_mag,axis_correlation,"ay,my",Correlation between ay and my
corr__ay__mz,acc_mag,axis_correlation,"ay,mz",Correlation between ay and mz
corr__az__gx,acc_gyro,axis_correlation,"az,gx",Correlation between az and gx
corr__az__gy,acc_gyro,axis_correlation,"az,gy",Correlation between az and gy
corr__az__gz,acc_gyro,axis_correlation,"az,gz",Correlation between az and gz
corr__az__mx,acc_mag,axis_correlation,"az,mx",Correlation between az and mx
corr__az__my,acc_mag,axis_correlation,"az,my",Correlation between az and my
corr__az__mz,acc_mag,axis_correlation,"az,mz",Correlation between az and mz
corr__gx__gy,gyro,axis_correlation,"gx,gy",Correlation between gx and gy
corr__gx__gz,gyro,axis_correlation,"gx,gz",Correlation between gx and gz
corr__gx__mx,gyro_mag,axis_correlation,"gx,mx",Correlation between gx and mx
corr__gx__my,gyro_mag,axis_correlation,"gx,my",Correlation between gx and my
corr__gx__mz,gyro_mag,axis_correlation,"gx,mz",Correlation between gx and mz
corr__gy__gz,gyro,axis_correlation,"gy,gz",Correlation between gy and gz
corr__gy__mx,gyro_mag,axis_correlation,"gy,mx",Correlation between gy and mx
corr__gy__my,gyro_mag,axis_correlation,"gy,my",Correlation between gy and my
corr__gy__mz,gyro_mag,axis_correlation,"gy,mz",Correlation between gy and mz
corr__gz__mx,gyro_mag,axis_correlation,"gz,mx",Correlation between gz and mx
corr__gz__my,gyro_mag,axis_correlation,"gz,my",Correlation between gz and my
corr__gz__mz,gyro_mag,axis_correlation,"gz,mz",Correlation between gz and mz
corr__mx__my,mag,axis_correlation,"mx,my",Correlation between mx and my
corr__mx__mz,mag,axis_correlation,"mx,mz",Correlation between mx and mz
corr__my__mz,mag,axis_correlation,"my,mz",Correlation between my and mz
gyro_norm__abs_mean,gyro,time,gyro_norm,abs_mean of gyro_norm
gyro_norm__diff_abs_mean,gyro,time,gyro_norm,diff_abs_mean of gyro_norm
gyro_norm__diff_rms,gyro,time,gyro_norm,diff_rms of gyro_norm
gyro_norm__dominant_freq_ratio,gyro,time_frequency,gyro_norm,dominant_freq_ratio of gyro_norm
gyro_norm__energy_mean,gyro,time,gyro_norm,energy_mean of gyro_norm
gyro_norm__haar_l1_energy_ratio,gyro,wavelet,gyro_norm,haar_l1_energy_ratio of gyro_norm
gyro_norm__haar_l2_energy_ratio,gyro,wavelet,gyro_norm,haar_l2_energy_ratio of gyro_norm
gyro_norm__haar_l3_energy_ratio,gyro,wavelet,gyro_norm,haar_l3_energy_ratio of gyro_norm
gyro_norm__haar_l4_energy_ratio,gyro,wavelet,gyro_norm,haar_l4_energy_ratio of gyro_norm
gyro_norm__high_band_ratio,gyro,time_frequency,gyro_norm,high_band_ratio of gyro_norm
gyro_norm__iqr,gyro,time,gyro_norm,iqr of gyro_norm
gyro_norm__kurtosis,gyro,time,gyro_norm,kurtosis of gyro_norm
gyro_norm__low_band_ratio,gyro,time_frequency,gyro_norm,low_band_ratio of gyro_norm
gyro_norm__max,gyro,time,gyro_norm,max of gyro_norm
gyro_norm__mean,gyro,time,gyro_norm,mean of gyro_norm
gyro_norm__median,gyro,time,gyro_norm,median of gyro_norm
gyro_norm__mid_band_ratio,gyro,time_frequency,gyro_norm,mid_band_ratio of gyro_norm
gyro_norm__min,gyro,time,gyro_norm,min of gyro_norm
gyro_norm__range,gyro,time,gyro_norm,range of gyro_norm
gyro_norm__rms,gyro,time,gyro_norm,rms of gyro_norm
