exercise,feature,cohen_d,abs_cohen_d,stable_subject_ratio,stable_effect_score,mean_subject_diff,sensor_group,family,source,description
db_bench_press,axis_my__mean,-0.0461,0.0461,0.375,0.0173,1.7417,mag,time,my,mean of my
db_bench_press,axis_gy__mean,-0.0219,0.0219,0.75,0.0164,-0.1012,gyro,time,gy,mean of gy
db_bench_press,axis_ax__slope,0.0243,0.0243,0.625,0.0152,0.0035,acc,time,ax,slope of ax
db_bench_press,axis_gy__mid_band_ratio,-0.0243,0.0243,0.625,0.0152,-0.0001,gyro,time_frequency,gy,mid_band_ratio of gy
db_bench_press,all9_pca__pca2_var_ratio,-0.0231,0.0231,0.625,0.0144,-0.0023,all9,pca,all9_pca,PCA variance ratio
db_bench_press,corr__gx__mx,-0.0213,0.0213,0.625,0.0133,-0.0174,gyro_mag,axis_correlation,"gx,mx",Correlation between gx and mx
db_bench_press,all9_pca__dominant_axis_var_share,0.0251,0.0251,0.5,0.0125,0.0011,all9,pca,all9_pca,Dominant axis variance share
db_bench_press,axis_gx__median,-0.0222,0.0222,0.5,0.0111,-0.0438,gyro,time,gx,median of gx
db_bench_press,axis_ay__kurtosis,0.0217,0.0217,0.5,0.0109,0.0502,acc,time,ay,kurtosis of ay
db_bench_press,axis_mx__dominant_freq_ratio,-0.0271,0.0271,0.375,0.0102,-0.0001,mag,time_frequency,mx,dominant_freq_ratio of mx
db_bench_press,axis_ay__mid_band_ratio,0.0213,0.0213,0.375,0.008,-0.0033,acc,time_frequency,ay,mid_band_ratio of ay
db_bench_press,gyro_norm__haar_l3_energy_ratio,-0.0214,0.0214,0.375,0.008,-0.0002,gyro,wavelet,gyro_norm,haar_l3_energy_ratio of gyro_norm
db_bench_press,axis_mx__slope,-0.012,0.012,0.625,0.0075,-0.0254,mag,time,mx,slope of mx
db_bench_press,axis_mz__mid_band_ratio,0.0199,0.0199,0.375,0.0075,0.003,mag,time_frequency,mz,mid_band_ratio of mz
db_bench_press,gyro_norm__haar_l2_energy_ratio,0.0125,0.0125,0.5,0.0062,-0.0,gyro,wavelet,gyro_norm,haar_l2_energy_ratio of gyro_norm
db_bench_press,axis_mz__low_band_ratio,-0.016,0.016,0.375,0.006,-0.0039,mag,time_frequency,mz,low_band_ratio of mz
db_bench_press,mag_norm__dominant_freq_ratio,0.0215,0.0215,0.25,0.0054,-0.0003,mag,time_frequency,mag_norm,dominant_freq_ratio of mag_norm
db_bench_press,corr__mx__my,0.0086,0.0086,0.625,0.0054,0.0375,mag,axis_correlation,"mx,my",Correlation between mx and my
db_bench_press,axis_gy__low_band_ratio,0.0082,0.0082,0.625,0.0052,0.0,gyro,time_frequency,gy,low_band_ratio of gy
db_bench_press,axis_my__median,-0.0139,0.0139,0.375,0.0052,2.5946,mag,time,my,median of my
db_bench_press,axis_ay__low_band_ratio,0.0078,0.0078,0.625,0.0049,0.0077,acc,time_frequency,ay,low_band_ratio of ay
db_bench_press,gyro_pca__pca1_var_ratio,0.0097,0.0097,0.5,0.0048,0.0005,gyro,pca,gyro_pca,PCA variance ratio
db_bench_press,axis_gz__max,-0.0092,0.0092,0.5,0.0046,0.6994,gyro,time,gz,max of gz
db_bench_press,axis_gx__haar_l3_energy_ratio,-0.0062,0.0062,0.625,0.0039,-0.0025,gyro,wavelet,gx,haar_l3_energy_ratio of gx
db_bench_press,axis_ay__spectral_entropy,0.0071,0.0071,0.5,0.0036,-0.0034,acc,time_frequency,ay,spectral_entropy of ay
db_bench_press,axis_az__slope,-0.0143,0.0143,0.25,0.0036,0.0016,acc,time,az,slope of az
db_bench_press,axis_gy__median,-0.006,0.006,0.5,0.003,-0.0224,gyro,time,gy,median of gy
db_bench_press,axis_mz__high_band_ratio,0.0052,0.0052,0.375,0.0019,0.0009,mag,time_frequency,mz,high_band_ratio of mz
db_bench_press,acc_norm__slope,-0.0026,0.0026,0.625,0.0016,-0.0005,acc,time,acc_norm,slope of acc_norm
db_bench_press,axis_gz__median,0.0021,0.0021,0.5,0.001,-0.032,gyro,time,gz,median of gz
db_bench_press,corr__ax__gy,-0.0034,0.0034,0.25,0.0009,0.0071,acc_gyro,axis_correlation,"ax,gy",Correlation between ax and gy
db_bench_press,axis_gy__dominant_freq_ratio,-0.0015,0.0015,0.375,0.0006,0.0001,gyro,time_frequency,gy,dominant_freq_ratio of gy
db_bench_press,axis_gz__mean,-0.0009,0.0009,0.5,0.0005,0.0177,gyro,time,gz,mean of gz
db_bench_press,corr__gx__mz,0.0001,0.0001,0.625,0.0001,0.0074,gyro_mag,axis_correlation,"gx,mz",Correlation between gx and mz
db_biceps_curl,axis_ax__std,4.1486,4.1486,1.0,4.1486,0.5048,acc,time,ax,std of ax
db_biceps_curl,axis_ax__range,3.8295,3.8295,1.0,3.8295,1.2422,acc,time,ax,range of ax
db_biceps_curl,axis_ax__iqr,3.8271,3.8271,1.0,3.8271,1.0908,acc,time,ax,iqr of ax
db_biceps_curl,gyro_norm__mean,3.609,3.609,1.0,3.609,60.0152,gyro,time,gyro_norm,mean of gyro_norm
db_biceps_curl,gyro_norm__abs_mean,3.609,3.609,1.0,3.609,60.0152,gyro,time,gyro_norm,abs_mean of gyro_norm
db_biceps_curl,gyro_norm__rms,3.5674,3.5674,1.0,3.5674,66.1499,gyro,time,gyro_norm,rms of gyro_norm
db_biceps_curl,gyro_norm__median,3.5191,3.5191,1.0,3.5191,64.7811,gyro,time,gyro_norm,median of gyro_norm
db_biceps_curl,corr__gy__gz,3.5156,3.5156,1.0,3.5156,1.2441,gyro,axis_correlation,"gy,gz",Correlation between gy and gz
db_biceps_curl,axis_gy__abs_mean,3.2762,3.2762,1.0,3.2762,46.9798,gyro,time,gy,abs_mean of gy
db_biceps_curl,axis_gy__rms,3.2112,3.2112,1.0,3.2112,51.8441,gyro,time,gy,rms of gy
db_biceps_curl,axis_gy__std,3.2009,3.2009,1.0,3.2009,51.022,gyro,time,gy,std of gy
db_biceps_curl,axis_gy__iqr,3.1801,3.1801,1.0,3.1801,99.8489,gyro,time,gy,iqr of gy
db_biceps_curl,all9_norm__std,3.092,3.092,1.0,3.092,25.477,all9,time,all9_norm,std of all9_norm
db_biceps_curl,gyro_norm__std,2.9371,2.9371,1.0,2.9371,27.6119,gyro,time,gyro_norm,std of gyro_norm
db_biceps_curl,corr__ay__az,-2.9317,2.9317,1.0,2.9317,-0.9738,acc,axis_correlation,"ay,az",Correlation between ay and az
db_biceps_curl,axis_gy__range,2.8454,2.8454,1.0,2.8454,144.5388,gyro,time,gy,range of gy
db_biceps_curl,all9_norm__range,2.7919,2.7919,1.0,2.7919,83.5825,all9,time,all9_norm,range of all9_norm
db_biceps_curl,gyro_norm__max,2.7739,2.7739,1.0,2.7739,96.4222,gyro,time,gyro_norm,max of gyro_norm
db_biceps_curl,all9_norm__iqr,2.7287,2.7287,1.0,2.7287,43.3856,all9,time,all9_norm,iqr of all9_norm
db_biceps_curl,gyro_norm__range,2.7207,2.7207,1.0,2.7207,92.1331,gyro,time,gyro_norm,range of gyro_norm
db_biceps_curl,gyro_norm__energy_mean,2.712,2.712,1.0,2.712,7889.6516,gyro,time,gyro_norm,energy_mean of gyro_norm
db_biceps_curl,all9_norm__spectral_entropy,-2.6967,2.6967,1.0,2.6967,-0.32,all9,time_frequency,all9_norm,spectral_entropy of all9_norm
db_biceps_curl,axis_ax__spectral_entropy,-2.6757,2.6757,1.0,2.6757,-0.4088,acc,time_frequency,ax,spectral_entropy of ax
db_biceps_curl,all9_norm__max,2.6242,2.6242,1.0,2.6242,86.1696,all9,time,all9_norm,max of all9_norm
