plot,file,subject,exercise,set_id,set_start,set_end,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/064_kevin0509workout_db_shoulder_press_set_3.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_shoulder_press,3,211264,214474,0.5,12,12,6,6,6,0.5,0.5,0.5,0.6475
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/065_kevin0509workout_db_squat_set_0.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_squat,0,319879,324164,0.5,12,12,12,0,0,1.0,1.0,1.0,0.8456
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/066_kevin0509workout_db_squat_set_1.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_squat,1,330751,334667,0.5,12,11,6,5,6,0.5455,0.5,0.5217,0.7378
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/067_kevin0509workout_db_squat_set_2.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_squat,2,344338,347939,0.5,12,12,12,0,0,1.0,1.0,1.0,0.8375
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/068_kevin0509workout_db_triceps_curl_set_0.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_triceps_curl,0,270488,275619,0.5,12,12,12,0,0,1.0,1.0,1.0,0.942
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/069_kevin0509workout_db_triceps_curl_set_1.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_triceps_curl,1,288843,293134,0.5,12,12,12,0,0,1.0,1.0,1.0,0.8665
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/070_kevin0509workout_db_triceps_curl_set_2.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_triceps_curl,2,302705,307002,0.5,13,13,9,4,4,0.6923,0.6923,0.6923,0.8392
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/071_kevin0509workout_db_weighted_crunch_set_0.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_weighted_crunch,0,133307,136582,0.5,12,12,8,4,4,0.6667,0.6667,0.6667,0.8623
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/072_kevin0509workout_db_weighted_crunch_set_1.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_weighted_crunch,1,145338,148353,0.5,12,12,12,0,0,1.0,1.0,1.0,0.7682
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/073_kevin0509workout_db_weighted_crunch_set_2.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_weighted_crunch,2,159207,162079,0.5,12,13,12,1,0,0.9231,1.0,0.96,0.7641
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/074_kevin0509workout_one_arm_db_row_set_0.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,one_arm_db_row,0,42995,45075,0.5,8,8,7,1,1,0.875,0.875,0.875,0.6936
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/075_kevin0509workout_one_arm_db_row_set_1.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,one_arm_db_row,1,46759,50010,0.5,12,12,12,0,0,1.0,1.0,1.0,0.9057
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/076_kevin0509workout_one_arm_db_row_set_2.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,one_arm_db_row,2,56767,60017,0.5,12,12,10,2,2,0.8333,0.8333,0.8333,0.9048
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/077_kevin0509workout_one_arm_db_row_set_3.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,one_arm_db_row,3,66229,69230,0.5,12,12,12,0,0,1.0,1.0,1.0,0.8438
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/078_thomas0506_db_bench_press_set_0.png,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_bench_press,0,331,3250,0.5,13,13,11,2,2,0.8462,0.8462,0.8462,0.7754
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/079_thomas0506_db_bench_press_set_1.png,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_bench_press,1,8982,11826,0.5,13,13,13,0,0,1.0,1.0,1.0,0.9128
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/080_thomas0506_db_bench_press_set_2.png,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_bench_press,2,17832,20791,0.5,13,13,11,2,2,0.8462,0.8462,0.8462,0.8893
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/081_thomas0506_db_biceps_curl_set_0.png,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_biceps_curl,0,170759,174439,0.5,12,13,2,11,10,0.1538,0.1667,0.16,0.5625
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/082_thomas0506_db_biceps_curl_set_1.png,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_biceps_curl,1,179591,182945,0.5,12,11,5,6,7,0.4545,0.4167,0.4348,0.7151
