recv_time,timestamp,ax,ay,az,gx,gy,gz,mx,my,mz
2026-03-11T17:23:08.036272,1681129,-809.0,780.0,14510.0,-191.0,-63.0,-125.0,3875.0,5257.0,-3159.0
2026-03-11T17:23:08.046199,1681139,-412.0,799.0,15503.0,-167.0,-13.0,-207.0,3892.0,5257.0,-3159.0
2026-03-11T17:23:08.056237,1681149,-1426.0,1034.0,14093.0,-164.0,-20.0,-90.0,3892.0,5261.0,-3161.0
2026-03-11T17:23:08.066215,1681159,-1051.0,1144.0,15499.0,-149.0,-15.0,-206.0,3857.0,5261.0,-3161.0
2026-03-11T17:23:08.076189,1681169,-640.0,765.0,14781.0,-149.0,-15.0,-206.0,3857.0,5261.0,-3081.0
2026-03-11T17:23:08.092583,1681179,-1212.0,1235.0,15615.0,-201.0,-41.0,-167.0,3892.0,5263.0,-3081.0
2026-03-11T17:23:08.098909,1681189,-1711.0,1247.0,14434.0,-188.0,-44.0,-180.0,3892.0,5263.0,-3075.0
2026-03-11T17:23:08.106211,1681199,-970.0,1162.0,15752.0,-166.0,-61.0,-150.0,3894.0,5270.0,-3075.0
2026-03-11T17:23:08.120282,1681209,-75.0,1168.0,17949.0,-154.0,-57.0,-82.0,3894.0,5270.0,-3125.0
2026-03-11T17:23:08.128734,1681219,-726.0,1238.0,16917.0,-156.0,8.0,-187.0,3880.0,5250.0,-3125.0
2026-03-11T17:23:08.136815,1681229,-1576.0,1562.0,16370.0,-154.0,-26.0,-129.0,3880.0,5250.0,-3092.0
2026-03-11T17:23:08.147159,1681239,-968.0,1157.0,15954.0,-139.0,-21.0,-221.0,3886.0,5250.0,-3092.0
2026-03-11T17:23:08.156299,1681249,-5.0,771.0,16190.0,-139.0,-23.0,-154.0,3886.0,5250.0,-3080.0
2026-03-11T17:23:08.168404,1681259,-1080.0,1078.0,15210.0,-139.0,-23.0,-154.0,3865.0,5259.0,-3080.0
2026-03-11T17:23:08.176304,1681269,-1407.0,1034.0,14290.0,-152.0,-27.0,-248.0,3865.0,5259.0,-3019.0
2026-03-11T17:23:08.188057,1681279,-901.0,1110.0,15887.0,-203.0,-19.0,-233.0,3881.0,5256.0,-3019.0
2026-03-11T17:23:08.196173,1681289,-1574.0,1548.0,16587.0,-117.0,-33.0,-155.0,3881.0,5256.0,-3135.0
2026-03-11T17:23:08.206283,1681299,-988.0,1193.0,16121.0,-58.0,-3.0,-246.0,3890.0,5251.0,-3135.0
2026-03-11T17:23:08.221801,1681309,-1117.0,1495.0,17325.0,-123.0,-5.0,-154.0,3890.0,5251.0,-3042.0
2026-03-11T17:23:08.226993,1681319,-1168.0,1304.0,16200.0,-141.0,-13.0,-219.0,3876.0,5255.0,-3042.0
