recv_time,timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,roll,pitch,yaw
2026-03-11T17:28:59.282,2032361,-878.0,1317.0,16741.0,-152.0,-26.0,-186.0,3960.0,5332.0,-3114.0,-69.2828935404195,-21.673333814733656,-41.55259313537823
2026-03-11T17:28:59.324,2032371,-974.0,1081.0,15451.0,-109.0,-46.0,-190.0,3960.0,5332.0,-3114.0,-68.88539427853496,-21.618701828361328,-41.62313047683957
2026-03-11T17:28:59.331,2032381,-1224.0,1410.0,16401.0,-144.0,-30.0,-160.0,3949.0,5335.0,-3125.0,-68.82061324217018,-21.39527937131548,-41.39216681737446
2026-03-11T17:28:59.331,2032391,-759.0,1153.0,16269.0,-72.0,-71.0,-76.0,3949.0,5335.0,-3125.0,-68.06872437430096,-21.609885418853054,-40.42640564605092
2026-03-11T17:28:59.331,2032401,-832.0,1268.0,16666.0,-72.0,-66.0,-208.0,3927.0,5339.0,-3099.0,-67.32593278617107,-21.767493217654298,-40.8232856975069
2026-03-11T17:28:59.331,2032411,-1251.0,1165.0,15111.0,-136.0,-66.0,-208.0,3927.0,5339.0,-3099.0,-67.22404285962114,-21.884570638181554,-41.21099451732348
2026-03-11T17:28:59.342,2032421,-493.0,1201.0,17228.0,-160.0,-54.0,-121.0,3913.0,5339.0,-3113.0,-67.36780685450815,-21.94337574139943,-40.73824047906664
2026-03-11T17:28:59.359,2032431,-1104.0,1081.0,15159.0,-144.0,-44.0,-203.0,3913.0,5339.0,-3113.0,-67.3500726853792,-21.85261081256897,-41.06522573939881
2026-03-11T17:28:59.362,2032441,-782.0,1116.0,16181.0,-124.0,-42.0,-134.0,3895.0,5346.0,-3094.0,-67.13936264617136,-21.77195245881895,-40.73838341196919
2026-03-11T17:28:59.372,2032451,-627.0,1073.0,16372.0,-151.0,-42.0,-201.0,3895.0,5346.0,-3094.0,-67.2013807995597,-21.704343421148405,-41.05801963858991
2026-03-11T17:28:59.382,2032461,-641.0,1095.0,16673.0,-168.0,-82.0,-205.0,3885.0,5366.0,-3104.0,-67.42860304949286,-22.029917630000355,-41.39880026988658
2026-03-11T17:28:59.392,2032471,-982.0,894.0,14729.0,-139.0,-26.0,-139.0,3885.0,5366.0,-3104.0,-67.37276305023948,-21.76797234027777,-41.08748431934849
2026-03-11T17:28:59.402,2032481,-843.0,1087.0,16374.0,-180.0,-25.0,-266.0,3870.0,5379.0,-3102.0,-67.71334679978514,-21.518797779625867,-41.970380708749275
2026-03-11T17:28:59.412,2032491,-715.0,1122.0,16626.0,-180.0,-25.0,-266.0,3870.0,5379.0,-3102.0,-68.04586521129178,-21.28428377540166,-42.779894670130915
2026-03-11T17:28:59.430,2032501,-1107.0,1191.0,15860.0,-124.0,-35.0,-120.0,3869.0,5403.0,-3090.0,-67.81425706957259,-21.12196820759456,-42.18001182739468
2026-03-11T17:28:59.432,2032511,-977.0,1076.0,15367.0,-165.0,-35.0,-226.0,3869.0,5403.0,-3090.0,-67.9948654654509,-20.96994920919693,-42.60007922161804
2026-03-11T17:28:59.466,2032521,-1136.0,1451.0,16751.0,-134.0,-10.0,-153.0,3847.0,5412.0,-3068.0,-67.84915415720589,-20.571245249167212,-42.308239108268694
2026-03-11T17:28:59.474,2032531,-459.0,895.0,15780.0,-145.0,-28.0,-260.0,3847.0,5412.0,-3068.0,-67.84824731994317,-20.400951412251935,-43.040162136598575
2026-03-11T17:28:59.474,2032541,-1243.0,1255.0,15273.0,-205.0,-47.0,-204.0,3849.0,5428.0,-3058.0,-68.40633224384088,-20.360787832473743,-43.178196848081576
2026-03-11T17:28:59.474,2032551,-416.0,1163.0,17183.0,-120.0,-38.0,-196.0,3849.0,5428.0,-3058.0,-68.13676450202577,-20.298298196405273,-43.24652943688403
2026-03-11T17:28:59.484,2032561,-865.0,1010.0,15275.0,-127.0,-57.0,-214.0,3850.0,5450.0,-3076.0,-67.94297013011985,-20.38625094629217,-43.49287945264865
2026-03-11T17:28:59.492,2032571,-642.0,1132.0,16492.0,-103.0,-77.0,-116.0,3850.0,5450.0,-3076.0,-67.5149790131791,-20.68864483229917,-42.834170536989305
2026-03-11T17:28:59.502,2032581,-1172.0,1210.0,15721.0,-103.0,-77.0,-116.0,3852.0,5461.0,-3070.0,-67.08605515999302,-20.944452231737213,-42.25041970024794
2026-03-11T17:28:59.512,2032591,-861.0,1185.0,16471.0,-160.0,-17.0,-265.0,3852.0,5461.0,-3070.0,-67.23003338513536,-20.63247042502674,-43.089676456090615
2026-03-11T17:28:59.522,2032601,-342.0,1024.0,17133.0,-141.0,-47.0,-143.0,3835.0,5486.0,-3075.0,-67.19882535545872,-20.65759061524692,-42.732080314487874
2026-03-11T17:28:59.532,2032611,-1054.0,1026.0,15551.0,-168.0,1.0,-247.0,3835.0,5486.0,-3075.0,-67.42575480137795,-20.15725840984946,-43.34551703061406
2026-03-11T17:28:59.542,2032621,-749.0,1139.0,16569.0,-138.0,-57.0,-168.0,3834.0,5510.0,-3059.0,-67.35098995404964,-20.26106919737171,-43.20096405444423
2026-03-11T17:28:59.630,2032631,-841.0,1155.0,15886.0,-146.0,-16.0,-245.0,3834.0,5510.0,-3059.0,-67.3516020969309,-19.952199229874857,-43.78189988515433
2026-03-11T17:28:59.633,2032641,-839.0,1236.0,16667.0,-151.0,-51.0,-201.0,3820.0,5521.0,-3060.0,-67.39954592338502,-19.995477225808923,-43.9152514886068
2026-03-11T17:28:59.633,2032651,-1129.0,958.0,14739.0,-140.0,-45.0,-144.0,3820.0,5521.0,-3060.0,-67.34917783515715,-19.94914594947553,-43.50148622182427
2026-03-11T17:28:59.633,2032661,-1224.0,1392.0,16016.0,-140.0,-45.0,-211.0,3832.0,5544.0,-3083.0,-67.27484886319299,-19.90408496420555,-43.741374290834266
2026-03-11T17:28:59.633,2032671,-692.0,1362.0,16601.0,-189.0,-53.0,-211.0,3832.0,5544.0,-3083.0,-67.68774733885928,-19.97782396361741,-43.947503153399595
2026-03-11T17:28:59.635,2032681,-907.0,1055.0,16688.0,-112.0,-16.0,-152.0,3843.0,5546.0,-3082.0,-67.35924494320999,-19.672971415736672,-43.591801568014866
2026-03-11T17:28:59.635,2032691,-798.0,954.0,15162.0,-116.0,12.0,-280.0,3843.0,5546.0,-3082.0,-67.07685343361419,-19.10177494168004,-44.46253338694504
2026-03-11T17:28:59.635,2032701,-938.0,1229.0,16133.0,-143.0,-67.0,-198.0,3846.0,5573.0,-3090.0,-67.04958964357517,-19.309980727716326,-44.523531960402536
2026-03-11T17:28:59.635,2032711,-888.0,1282.0,16705.0,-108.0,-29.0,-253.0,3846.0,5573.0,-3090.0,-66.67922832735884,-19.147302201360194,-45.11958909293376
2026-03-11T17:28:59.642,2032721,-601.0,1116.0,16131.0,-194.0,-64.0,-168.0,3862.0,5565.0,-3098.0,-67.16769136457229,-19.348983665720237,-44.85260925095928
2026-03-11T17:28:59.652,2032731,-716.0,1254.0,17192.0,-118.0,-13.0,-145.0,3862.0,5565.0,-3098.0,-66.89730118121304,-19.041833524087167,-44.38374990862404
2026-03-11T17:28:59.663,2032741,-633.0,986.0,15737.0,-153.0,-32.0,-221.0,3875.0,5596.0,-3090.0,-66.9870516718403,-18.928618810989963,-44.66307621187998
2026-03-11T17:28:59.672,2032751,-938.0,1147.0,15945.0,-153.0,-32.0,-221.0,3875.0,5596.0,-3090.0,-67.06442120064669,-18.79648614995536,-44.91806700274004
2026-03-11T17:28:59.736,2032761,-964.0,1077.0,16306.0,-118.0,-66.0,-124.0,3895.0,5596.0,-3115.0,-66.8039556205079,-18.99983618874926,-44.25159826065824
2026-03-11T17:28:59.739,2032771,-451.0,899.0,16156.0,-170.0,-37.0,-226.0,3895.0,5596.0,-3115.0,-67.07017776963494,-18.950508534534897,-44.56919371265831
2026-03-11T17:28:59.739,2032781,-860.0,1277.0,16684.0,-192.0,-107.0,-135.0,3882.0,5586.0,-3130.0,-67.52283605812255,-19.561254592351517,-43.99331669528486
2026-03-11T17:28:59.739,2032791,-840.0,1115.0,16168.0,-131.0,-1.0,-232.0,3882.0,5586.0,-3130.0,-67.3772780447944,-19.12048822687821,-44.35752910168116
2026-03-11T17:28:59.739,2032801,-1096.0,1086.0,15271.0,-163.0,-28.0,-220.0,3881.0,5594.0,-3116.0,-67.54577744698693,-18.930582969799865,-44.580466727047565
2026-03-11T17:28:59.739,2032811,-469.0,1293.0,17393.0,-86.0,-89.0,-187.0,3881.0,5594.0,-3116.0,-66.9526306552734,-19.39336429884588,-44.534722206847526
2026-03-11T17:28:59.742,2032821,-1096.0,1041.0,15237.0,-150.0,-105.0,-194.0,3892.0,5598.0,-3111.0,-67.00540994596925,-19.952403540040304,-44.58315837131376
2026-03-11T17:28:59.773,2032831,-1396.0,1442.0,15801.0,-150.0,-75.0,-153.0,3892.0,5598.0,-3111.0,-67.03101431210993,-20.187793079688543,-44.24813687886978
2026-03-11T17:28:59.777,2032842,-631.0,1338.0,17608.0,-132.0,-75.0,-153.0,3880.0,5608.0,-3117.0,-67.02644499753582,-20.55160766795956,-44.088729398474406
2026-03-11T17:28:59.777,2032852,-51.0,1009.0,17678.0,-130.0,-39.0,-232.0,3880.0,5608.0,-3117.0,-66.89458202609767,-20.51947499577083,-44.5489295418363
2026-03-11T17:28:59.782,2032862,-785.0,903.0,15190.0,-126.0,-69.0,-137.0,3877.0,5595.0,-3114.0,-66.7234492120925,-20.726222746438044,-44.10077752594454
2026-03-11T17:28:59.792,2032872,-1334.0,1024.0,14526.0,-157.0,-45.0,-257.0,3877.0,5595.0,-3114.0,-66.84693314020814,-20.64801544712726,-44.804434677703526
2026-03-11T17:28:59.802,2032882,-820.0,1194.0,16468.0,-149.0,-58.0,-179.0,3876.0,5596.0,-3125.0,-66.88725585544827,-20.746592052032252,-44.72784851964133
2026-03-11T17:28:59.812,2032892,-1015.0,1151.0,15749.0,-131.0,-38.0,-199.0,3876.0,5596.0,-3125.0,-66.74971126831582,-20.63050526228698,-44.84834963643618
2026-03-11T17:28:59.822,2032902,-807.0,1092.0,15976.0,-158.0,-36.0,-236.0,3903.0,5588.0,-3124.0,-66.88491245559088,-20.51299477508707,-45.30277889086394
2026-03-11T17:28:59.835,2032912,-443.0,1137.0,17034.0,-111.0,-41.0,-169.0,3903.0,5588.0,-3124.0,-66.55863894587884,-20.474806110287624,-45.115612868440685
2026-03-11T17:28:59.843,2032922,-1033.0,1247.0,15966.0,-111.0,-41.0,-169.0,3897.0,5596.0,-3142.0,-66.22594750781147,-20.393296627824395,-44.9456194940328
2026-03-11T17:28:59.855,2032932,-678.0,1119.0,16277.0,-150.0,-43.0,-263.0,3897.0,5596.0,-3142.0,-66.29277369776143,-20.359238658522788,-45.67175923924297
2026-03-11T17:28:59.870,2032942,-1224.0,1231.0,15634.0,-119.0,-40.0,-176.0,3892.0,5585.0,-3139.0,-66.04307615470749,-20.254796885306646,-45.54401085313423
2026-03-11T17:28:59.882,2032952,-612.0,1020.0,16396.0,-139.0,-22.0,-260.0,3892.0,5585.0,-3139.0,-66.01321863558213,-20.02263056055637,-46.2127499271538
2026-03-11T17:28:59.886,2032962,-1237.0,1382.0,16462.0,-131.0,-65.0,-178.0,3893.0,5569.0,-3141.0,-65.88077864669225,-20.17353236473221,-46.0783223577245
2026-03-11T17:28:59.893,2032972,-439.0,1028.0,16656.0,-186.0,-58.0,-283.0,3893.0,5569.0,-3141.0,-66.31532733583586,-20.308323283949548,-46.92814256833463
2026-03-11T17:28:59.902,2032982,-1288.0,1219.0,15533.0,-128.0,-26.0,-226.0,3919.0,5581.0,-3134.0,-66.15367547477724,-20.062443388585034,-47.20226215585074
2026-03-11T17:28:59.911,2032992,-618.0,1189.0,17013.0,-116.0,-52.0,-171.0,3919.0,5581.0,-3134.0,-65.88744652877233,-20.129288395923183,-46.958590078900954
2026-03-11T17:28:59.924,2033002,-981.0,1088.0,15252.0,-140.0,-42.0,-257.0,3906.0,5575.0,-3124.0,-65.86009205012365,-20.0648854221245,-47.54582311929115
2026-03-11T17:28:59.932,2033012,-481.0,1314.0,17963.0,-140.0,-42.0,-257.0,3906.0,5575.0,-3124.0,-65.83121510130478,-20.04459226915924,-48.10455037036175
2026-03-11T17:28:59.942,2033022,-730.0,1058.0,16064.0,-157.0,2.0,-134.0,3910.0,5562.0,-3128.0,-65.97782786062119,-19.572174467336684,-47.433627332507285
2026-03-11T17:28:59.952,2033032,-429.0,963.0,16480.0,-167.0,-23.0,-238.0,3910.0,5562.0,-3128.0,-66.22798639670022,-19.376358514486654,-47.76120331145443
2026-03-11T17:28:59.970,2033042,-949.0,1218.0,16379.0,-157.0,-38.0,-155.0,3905.0,5544.0,-3116.0,-66.35696891576441,-19.29509330062222,-47.27454552184028
2026-03-11T17:28:59.976,2033052,-796.0,1142.0,16238.0,-81.0,-68.0,-234.0,3905.0,5544.0,-3116.0,-65.74317108099224,-19.519600726712316,-47.60848785391965
2026-03-11T17:28:59.983,2033062,-1076.0,1185.0,15769.0,-147.0,-75.0,-142.0,3916.0,5562.0,-3130.0,-65.78295658455227,-19.786356845359197,-47.058232514571124
